"","ELEC-a","GASHeat-a","OIL-a","COAL-a","ENIT-a","NEINT-a","Rice-a","Barley-a","Bean-a","Potato-a","Vegi-a","Fruit-a","Flower-a","MissCrop-a","Dairy-a","Meat-a","Pork-a","Poultry-a","MissLstock-a","CO2-a","ELEC-c","GASHeat-c","OIL-c","COAL-c","ENIT-c","NEINT-c","Rice-c","Barley-c","Bean-c","Potato-c","Vegi-c","Fruit-c","Flower-c","MissCrop-c","Dairy-c","Meat-c","Pork-c","Poultry-c","MissLstock-c","CO2-c","Labor","Capital","Household","GoV","NRES","Ptaxin","Ptaxetc","Tarrif","YTAX","S-I","ROW"
"MissCrop-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2508.96,0,0,0,0,0,0,0,0,0,0.467608,0,0,0,0,0,0,0
"Dairy-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806.517,0,0,0,0,0,0,0,0,0.0785574,0,0,0,0,0,0,0
"Meat-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4701.208,0,0,0,0,0,0,0,0.2365731,0,0,0,0,0,0,0
"Pork-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4863.727,0,0,0,0,0,0,1.6077392,0,0,0,0,0,0,0
"Poultry-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4660.846,0,0,0,0,0,0.4481884,0,0,0,0,0,0,0
"MissLstock-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733.394,0,0,0,0,0.2494561,0,0,0,0,0,0,0
"CO2-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5383.222717,0,0,0,0,0,0,0,0,0,0,0
"ELEC-c",556.757,64.474,815.588,72.901,6707.129,25207.519,30.5336854840682,0.827315155322586,1.147,1.092,8.573,17.033,15.547,1.508,9.445,15.457,14.619,32.186,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7975.41999936061,0,0,0,0,0,0,0,83.761
"GASHeat-c",8575.153,20534.598,470.029,0.785,2809.546,9075.333,1.8069998265144,0.0460002642084037,0,0,0.126,0.034,2.851,0.342,0.021,0.056,0.061,0.036,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7870.84899990928,0,0,0,0,0,0,455.704,18.034
"OIL-c",2300.089,681.308,83242.31,67.988,53259.488,22936.447,92.6186005712039,4.23140433509836,6.685,6.499,225.624,63.266,253.864,15.925,2.891,11.254,7.056,12.931,2.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10533.3739950937,0,0,0,0,0,0,2220.658,40993.88
"COAL-c",8892.316,469.276,0,5046.834,8106.134,313.902,0,0,0,0,44.57,1.618,37.687,0,0,0,13.268,0.689,1.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.243,0,0,0,0,0,0,-909.442,23.69
"ENIT-c",624.116,61.631,2780.272,355.966,213550.209,236304.469,195.386795814582,5.3421981441189,4.392,9.232,277.153,104.276,118.296,23.48,38.53,111.451,51.7,52.319,33.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26107.2940060414,0,0,0,0,0,0,3083.691,127640.807
"NEINT-c",7667.134,1518.722,7616.449,811.139,93425.053,1079431.091,1820.56360057412,45.2304645155441,43.607,68.273,2147.414,830.66,252.08,322.022,817.609,2752.011,3428.778,3180.143,220.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522957.32993491,183108.515,0,0,0,0,0,369838.664,462734.684
"Rice-c",0,0,0,0,3.816,3055.316,6175.328855786,159.521213164164,3.409,6.864,48.961,4.029,1.742,71.761,96.851,249.989,114.15,9.64,12.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904.21336294143,0,0,0,0,0,0,285.612,21.587
"Barley-c",0,0,0,0,0,3649.784,49.2185393601295,6.52745911620264,0,0,0,0,0,0,1.997,9.625,0.594,0.282,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.753730190708,0,0,0,0,0,0,-25.252,0.743
"Bean-c",0,0,0,0,0,818.153,0,0,0.45,0,20.019,0,0,0,2.819,7.925,4.145,0.851,0.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.327,0,0,0,0,0,0,-6.517,1.321
"Potato-c",0,0,0,0,0,328.58,0,0,0,27.672,0,0,0,0,0,1.542,28.889,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.281,0,0,0,0,0,0,-21.373,0.863
"Vegi-c",0,0,0,0,0,3672.716,0,0,0,0,1.543,0,0,0,0,0,0.686,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5710.589,0,0,0,0,0,0,94.651,182.94
"Fruit-c",0,0,0,0,0,1244.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2911.819,0,0,0,0,0,0,62.857,101.406
"Flower-c",1.268,0.281,1.534,0.066,30.426,1087.379,0.0234128053902683,0.000617189338788652,0,0,0,0,84.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.471970005271,0,0,0,0,0,0,43.936,120.085
"MissCrop-c",0,0,0,0,1401.589,3210.539,0,0,0,0,109.722,0,1.949,116.331,13.458,33.291,6.886,1.548,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863.995999999999,0,0,0,0,0,0,18.443,45.784
"Dairy-c",0,0,0,0,0,1656.336,2.339999959752,0.195000002064,0,0,3.529,0.723,0,0.015,5.464,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81839981855592e-08,0,0,0,0,0,0,138.902,0
"Meat-c",0,0,0,0,0,3898.015,10.19099999736,0.507999998376,0,0,37.36,5.97,0,6.285,10.683,24.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26371116191149e-09,0,0,0,0,0,0,711.294,0
"Pork-c",0,0,0,0,0,4684.578,4.17600001728,0.906999999408,0,0,5.889,4.63,0,7.547,0,0,10.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.210999983312,0.128
"Poultry-c",0,0,0,0,0,3255.662,1.643999994,0.372000000672,0,0,54.541,9.614,0,2.753,0,0,0,363.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913.199000005328,0,0,0,0,0,0,73.833,3.052
"MissLstock-c",0,0,0,0,0,414.29,3.222999961272,0.479000001384,0,0,6.884,1.093,0,10.725,0,0,0,0,16.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.367000037344,0,0,0,0,0,0,100.631,3.698
"CO2-c",2427.7877735,116.0255537,49.7711088,1.1953421,1988.6994185,769.4976119,2.67810521376353,0.121440686236469,0.194981,0.1895603,10.9991895,1.8451611,11.1293485,0.467608,0.0785574,0.2365731,1.6077392,0.4481884,0.2494561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labor",3438.079,925.373,1112.996,141.264,46383.86,482766.542,255.831758134548,10.6762415663704,13.953,35.963,498.058,216.959,55.854,182.279,16.075,21.88,102.256,95.992,76.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capital",9153.961,3779.67,5012.656,441.533,64759.516,491334.232,4938.3014964324,132.02450228243,469.114,358.778,5672.932,2250.83,696.339,1683.165,768.486,1403.164,1041.818,872.398,350.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536350.257999701,595119.742998715,0,39046,1075.4339999948,0,0,0,0,0,0
"GoV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5383.222717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140861.254999976,13654.0880001483,0,83753,0,0
"NRES",-47.827,-5.84,369.524,-1.204,5188.602,-1574.612,-0.00974317726740777,-0.000256841717941254,0,0,-0.088,0,0,0,0,0,0,-0.064,-0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptaxin",263.253,2110.82,1487.932,-26.574,6888.679,30978.632,76.5765472382544,2.18545273774807,1.271,2.383,85.086,40.704,7.177,14.319,10.47,28.291,13.404,14.21,7.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46452.566,0,0,0,0,0,0,31724.564,20677.387
"Ptaxetc",110.188,21.479,141.412,1.645,1340.452,11521.237,242.63488311199,6.70811703630803,18.818,17.874,49.383,29.233,7.849,50.503,11.718,30.49,24.859,23.821,3.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarrif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YTAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83753,0,0,0,0,0,0,0,0
"S-I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450050.341999873,16113.8280001243,2853.03099998621,0,0,0,0,0,-60976.134
"ROW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.461,19653.694,113890.612,15211.044,107679.071,325766.932,325.069,3568.624,668.395,15.912,366.05,740.223,47.236,3319.216,1.021,3.846,4.897,17.484,300.929,0,0,0,0,0,0,0,0,0,0,0,0
