io,c
183,Machine-c
184,Machine-c
185,Machine-c
186,Machine-c
187,Machine-c
188,Machine-c
189,Machine-c
190,Machine-c
191,Machine-c
192,Machine-c
193,Machine-c
194,Machine-c
195,Machine-c
196,Machine-c
197,Machine-c
198,Machine-c
199,Machine-c
200,Machine-c
201,Machine-c
202,Machine-c
203,Machine-c
204,Machine-c
205,Machine-c
206,Machine-c
207,Machine-c
208,Machine-c
209,Machine-c
210,Machine-c
211,Machine-c
212,Machine-c
213,Machine-c
214,Electronics-c
215,Electronics-c
216,Electronics-c
217,Electronics-c
218,Electronics-c
219,Electronics-c
220,Electronics-c
221,Electronics-c
222,Electronics-c
223,Electronics-c
224,Semidis-c
225,Semidis-c
226,Semidis-c
227,Semidis-c
228,Semidis-c
229,Semidis-c
230,Semidis-c
231,Semidis-c
232,Semidis-c
233,Semidis-c
234,Semidis-c
235,Semidis-c
236,Semidis-c
237,Semidis-c
238,Semidis-c
239,Semidis-c
240,Electronics-c
241,Electronics-c
242,Electronics-c
243,Electronics-c
244,Electronics-c
245,Electronics-c
246,Electronics-c
247,Electronics-c
248,Electronics-c
249,Auto-c
250,Auto-c
251,Auto-c
252,Auto-c
253,Auto-c
254,Auto-c
255,Auto-c
256,Ship-c
257,Ship-c
258,Ship-c
259,Ship-c
260,Ship-c
261,Ship-c
262,Ship-c
263,MissManu-c
264,MissManu-c
265,MissManu-c
266,MissManu-c
267,MissManu-c
268,MissManu-c
269,MissManu-c
270,MissManu-c
271,MissManu-c
272,MissManu-c
273,MissManu-c
274,ELEC-c
275,ELEC-c
276,ELEC-c
277,ELEC-c
278,ELEC-c
279,GAS-c
280,HEAT-c
281,Public-c
282,Waste-c
283,Waste-c
284,Waste-c
285,Waste-c
286,Waste-c
287,Const-c
288,Const-c
289,Const-c
290,Const-c
291,Const-c
292,Const-c
293,Const-c
294,Const-c
295,Const-c
296,Const-c
297,Const-c
298,Const-c
299,Const-c
300,Const-c
301,Const-c
302,Commercial-c
303,Commercial-c
304,Rail-c
305,Rail-c
306,Road-c
307,Road-c
308,MissTrans-c
309,Marine-c
310,Marine-c
311,Air-c
312,MissTrans-c
313,MissTrans-c
314,MissTrans-c
315,MissTrans-c
316,MissTrans-c
317,MissTrans-c
318,Commercial-c
319,Commercial-c
320,Commercial-c
321,Commercial-c
322,Commercial-c
323,Commercial-c
324,Commercial-c
325,Commercial-c
326,Commercial-c
327,Commercial-c
328,Commercial-c
329,Commercial-c
330,Commercial-c
331,Commercial-c
332,Commercial-c
333,Commercial-c
334,Commercial-c
335,Commercial-c
336,Commercial-c
337,Commercial-c
338,Commercial-c
339,Commercial-c
340,Commercial-c
341,Housing-c
342,Commercial-c
343,Commercial-c
344,Commercial-c
345,Commercial-c
346,Public-c
347,Commercial-c
348,Commercial-c
349,Commercial-c
350,Commercial-c
351,Commercial-c
352,Commercial-c
353,Commercial-c
354,Commercial-c
355,Commercial-c
356,Commercial-c
357,Commercial-c
358,Commercial-c
359,Commercial-c
360,Public-c
361,Public-c
362,Public-c
363,Commercial-c
364,Commercial-c
365,Public-c
366,Commercial-c
367,Commercial-c
368,Public-c
369,Public-c
370,Commercial-c
371,Public-c
372,Commercial-c
373,Commercial-c
374,Commercial-c
375,Commercial-c
376,Commercial-c
377,Commercial-c
378,Commercial-c
379,Commercial-c
380,Commercial-c
381,Commercial-c
382,Commercial-c
383,Commercial-c
384,Commercial-c
385,Ptaxin
386,Nres
387,Labor
388,Capital
389,Capital
390,Ptaxetc
