"","KSICcode","KSIC_name","CGE_code_actual"
"233","20492","가공 및 정제염 제조업","Chemistry"
"234","20494","화약 및 불꽃제품 제조업","Chemistry"
"235","20499","그외기타분류안된화학제품제조업","Chemistry"
"236","22211","플라스틱 선, 봉,관 및호스제조업","Chemistry"
"237","22212","플라스틱 필름, 시트 및 판 제조업","Chemistry"
"238","22213","플라스틱 합성피혁 제조업","Chemistry"
"239","22221","벽 및 바닥 피복용 플라스틱제품 제조업","Chemistry"
"240","22222","저장용 및 위생용 플라스틱제품 제조업","Chemistry"
"241","22223","플라스틱 창호 제조업","Chemistry"
"242","22229","기타 건축용 플라스틱 조립제품 제조업","Chemistry"
"243","22231","플라스틱 포대, 봉투 및 유사제품 제조업","Chemistry"
"244","22232","포장용 플라스틱 성형용기 제조업","Chemistry"
"245","22240","기계장비 조립용 플라스틱제품 제조업","Chemistry"
"246","22250","플라스틱 발포 성형제품 제조업","Chemistry"
"247","22291","플라스틱  적층, 도포 및 기타 표면처리 제품 제조업","Chemistry"
"248","22299","그외 기타 플라스틱 제품 제조업","Chemistry"
"249","22111","타이어 및 튜브 제조업","Chemistry"
"250","22112","타이어 재생업","Chemistry"
"251","22191","산업용 비경화고무제품 제조업","Chemistry"
"252","22192","고무의류 및 기타 위생용 고무제품 제조업","Chemistry"
"253","22199","그외 기타 고무제품 제조업","Chemistry"
"254","23110","판유리 제조업","Mineral"
"255","23199","그외 기타 유리제품 제조업","Mineral"
"256","23129","기타 산업용 유리제품 제조업","Mineral"
"257","23121","유리섬유 및 광학용 유리 제조업","Mineral"
"258","23122","판유리 가공품 제조업","Mineral"
"259","23191","가정용 유리제품 제조업","Mineral"
"260","23192","포장용 유리용기 제조업","Mineral"
"261","23211","가정용 및 장식용 도자기 제조업","Mineral"
"262","23212","위생용 도자기 제조업","Mineral"
"263","23213","산업용 도자기 제조업","Mineral"
"264","23219","기타 일반 도자기 제조업","Mineral"
"265","23221","구조용 정형내화제품 제조업","Mineral"
"266","23229","기타 내화요업제품 제조업","Mineral"
"267","23231","점토 벽돌, 블록 및 유사 비내화 요업제품 제조업","Mineral"
"268","23232","타일및유사비내화요업제품제조업","Mineral"
"269","23239","기타구조용비내화요업제품제조업","Mineral"
"270","23311","시멘트 제조업","Cement"
"271","23321","비내화 모르타르 제조업","Cement"
"272","23322","레미콘 제조업","Cement"
"273","23325","콘크리트 타일, 기와, 벽돌 및 블록 제조업","Cement"
"274","23326","콘크리트관 및 기타 구조용 콘크리트제품 제조업","Cement"
"275","23329","그외 기타 콘크리트 제품 및 유사제품 제조업","Cement"
"276","23312","석회 및 플라스터 제조업","Cement"
"277","23323","플라스터 제품 제조업","Cement"
"278","23911","건설용 석제품 제조업","Cement"
"279","23919","기타 석제품 제조업","Cement"
"280","23992","연마재 제조업","Cement"
"281","23991","아스콘 제조업","Cement"
"282","23999","그외 기타 분류안된 비금속 광물제품 제조업","Cement"
"283","23324","섬유시멘트 제품 제조업","Cement"
"284","23994","석면, 암면 및 유사제품 제조업","Cement"
"285","23993","비금속광물 분쇄물 생산업","Cement"
"286","24111","제철업","IS"
"287","24113","합금철 제조업","IS"
"288","24112","제강업","IS"
"289","24121","열간 압연 및 압출 제품 제조업","IS"
"290","24123","철강선 제조업","IS"
"291","24131","주철관 제조업","IS"
"292","24132","강관 제조업","IS"
"293","24122","냉간 압연 및 압출 제품 제조업","IS"
"294","24191","도금, 착색 및 기타 표면처리강재 제조업","IS"
"295","24119","기타 제철 및 제강업","IS"
"296","24199","그외 기타 1차 철강 제조업","IS"
"297","24211","동 제련, 정련 및 합금 제조업","nonISmetal"
"298","24212","알루미늄 제련, 정련및합금제조업","nonISmetal"
"299","24213","연및아연제련,정련및합금제조업","nonISmetal"
"300","24219","기타비철금속제련정련및합금제조","nonISmetal"
"301","24219","기타비철금속제련정련합금제조업","nonISmetal"
"302","24221","동 압연, 압출 및 연신제품 제조업","nonISmetal"
"303","24222","알루미늄압연압출연신제품제조업","nonISmetal"
"304","24229","기타비철금압연압출연신제품제조","nonISmetal"
"305","24290","기타 1차 비철금속 제조업","nonISmetal"
"306","24311","선철주물 주조업","nonISmetal"
"307","24312","강주물 주조업","nonISmetal"
"308","24321","알루미늄주물 주조업","nonISmetal"
"309","24322","동주물 주조업","nonISmetal"
"310","24329","기타 비철금속 주조업","nonISmetal"
"311","25111","금속 문, 창, 셔터 및 관련제품 제조업","Machine"
"312","25112","구조용 금속판제품 및 금속공작물 제조업","Machine"
"313","25119","기타 구조용 금속제품 제조업","Machine"
"314","25113","금속 조립구조재 제조업","Machine"
"315","25122","설치용 금속탱크 및 저장용기 제조업","Machine"
"316","25121","중앙난방보일러 및 방열기 제조업","Machine"
"317","25130","핵반응기 및 증기발생기 제조업","Machine"
"318","25911","분말야금제품 제조업","Machine"
"319","25912","금속단조제품 제조업","Machine"
"320","25913","금속압형제품 제조업","Machine"
"321","25921","금속 열처리업","Machine"
"322","25922","도금업","Machine"
"323","25923","도장 및 기타 피막처리업","Machine"
"324","25924","절삭가공 및 유사처리업","Machine"
"325","25929","그외 기타 금속가공업","Machine"
"326","25994","금속위생용품 제조업","Machine"
"327","25932","일반철물 제조업","Machine"
"328","25933","비동력식 수공구 제조업","Machine"
"329","25934","톱 및 호환성공구 제조업","Machine"
"330","25941","금속파스너 및 나사제품 제조업","Machine"
"331","25942","금속 스프링 제조업","Machine"
"332","25943","금속선 가공제품 제조업","Machine"
"333","25991","금속캔 및 기타 포장용기 제조업","Machine"
"334","25200","무기 및 총포탄 제조업","Machine"
"335","25992","금고 제조업","Machine"
"336","25995","금속표시판 제조업","Machine"
"337","25999","그외 기타 분류안된 금속가공제품 제조업","Machine"
"338","29299","그외기타특수목적용기계제조업","Machine"
"339","29111","내연기관 제조업","Machine"
"340","29119","기타 기관 및 터빈 제조업","Machine"
"341","29120","유압기기 제조업","Machine"
"342","29131","액체 펌프 제조업","Machine"
"343","29132","기체 펌프 및 압축기 제조업","Machine"
"344","29133","탭, 밸브 및 유사장치 제조업","Machine"
"345","29141","볼베어링 및 롤러베어링 제조업","Machine"
"346","29142","기어 및 동력전달장치 제조업","Machine"
"347","29161","산업용 트럭 및 적재기 제조업","Machine"
"348","29162","승강기 제조업","Machine"
"349","29163","컨베이어장치 제조업","Machine"
"350","29169","기타 물품취급장비 제조업","Machine"
"351","29171","산업용 냉장 및 냉동 장비 제조업","Machine"
"352","29172","공기조화장치 제조업","Machine"
"353","29173","산업용 송풍기배기장치 제조업","Machine"
"354","29174","기체 여과기 제조업","Machine"
"355","29175","액체 여과기 제조업","Machine"
"356","29180","사무용 기계 및 장비 제조업","Machine"
"357","29150","산업용 오븐,노및노 버너 제조업","Machine"
"358","29150","산업용오븐,노및노용버너제조업","Machine"
"359","29176","증류기,열교환기가스발생기제조","Machine"
"360","29192","용기세척, 포장 및 충전기 제조업","Machine"
"361","29193","자동판매기 및 화폐교환기 제조업","Machine"
"362","29194","분사기 및 소화기  제조업","Machine"
"363","29199","그외기타일반목적용기계 제조업","Machine"
"364","29199","그외기타일반목적용기계제조업","Machine"
"365","29210","농업 및 임업용 기계 제조업","Machine"
"366","29241","토목공사및유사용기계장비제조업","Machine"
"367","29242","광물처리 및 취급장비 제조업","Machine"
"368","29195","동력식 수지공구 제조업","Machine"
"369","29221","전자응용 공작기계 제조업","Machine"
"370","29222","금속 절삭기계 제조업","Machine"
"371","29223","금속 성형기계 제조업","Machine"
"372","29230","금속주조및기타야금용기계제조업","Machine"
"373","29294","주형 및 금형 제조업","Machine"
"374","29271","반도체 제조용 기계 제조업","Machine"
"375","29272","평판디스플레이제조용기계제조업","Machine"
"376","29250","음·식료품및담배가공기계제조업","Machine"
"377","29261","산업용 섬유세척, 염색, 정리 및 가공 기계 제조업","Machine"
"378","29269","기타 섬유, 의복 및 가죽 가공 기계 제조업","Machine"
"379","29280","산업용 로봇 제조업","Machine"
"380","29291","펄프 및 종이 가공용 기계 제조업","Machine"
"381","29293","인쇄 및 제책용 기계 제조업","Machine"
"382","29292","고무, 화학섬유 및 플라스틱 성형기 제조업","Machine"
"383","29229","기타 가공공작기계 제조업","Machine"
"384","25931","날붙이 제조업","Machine"
"385","25993","수동식 식품 가공기기 및 금속주방용기 제조업","Machine"
"386","28111","전동기 및 발전기 제조업","Electronics"
"387","28112","변압기 제조업","Electronics"
"388","28113","방전램프용 안정기 제조업","Electronics"
"389","28119","기타발전기및전기변환장치제조업","Electronics"
"390","28121","전기회로개폐보호접속장치제조업","Electronics"
"391","28122","배전반 및 전기자동제어반 제조업","Electronics"
"392","28201","일차전지 제조업","Electronics"
"393","28202","축전지 제조업","Electronics"
"394","28301","광섬유 케이블 제조업","Electronics"
"395","28302","기타 절연선 및 케이블 제조업","Electronics"
"396","28303","절연코드세트및기타도체제조업","Electronics"
"397","28410","전구 및 램프 제조업","Electronics"
"398","28421","운송장비용 조명장치 제조업","Electronics"
"399","28422","일반용 전기 조명장치 제조업","Electronics"
"400","28423","전시 및 광고용 조명장치 제조업","Electronics"
"401","28429","기타 조명장치 제조업","Electronics"
"402","28901","전기경보 및 신호장치 제조업","Electronics"
"403","28902","전기용탄소제품및절연제품제조업","Electronics"
"404","28903","교통 신호장치 제조업","Electronics"
"405","28909","그외 기타 전기장비 제조업","Electronics"
"406","30392","자동차용 전기장치 제조업","Auto"
"407","28511","주방용 전기기기 제조업","Electronics"
"408","28512","가정용 전기 난방기기 제조업","Electronics"
"409","28519","기타 가정용 전기기기 제조업","Electronics"
"410","28520","가정용비전기식조리난방기구제조업","Electronics"
"411","27111","방사선 장치 제조업","Electronics"
"412","27112","전기식 진단 및 요법 기기 제조업","Electronics"
"413","27191","치과용 기기 제조업","Electronics"
"414","27192","정형외과용신체보정용기기제조업","Electronics"
"415","27193","의료용 가구 제조업","Electronics"
"416","27199","그외 기타 의료용 기기 제조업","Electronics"
"417","27211","항행용무선기기및측량기구제조업","Electronics"
"418","27212","전자기측정 시험및분석기구제조업","Electronics"
"419","27213","물질검사, 측정및분석기구제조업","Electronics"
"420","27214","속도계 및 적산계기 제조업","Electronics"
"421","27219","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업","Electronics"
"422","27219","기타측정시험항해및정밀기기 제조업","Electronics"
"423","29191","일반저울 제조업","Machine"
"424","27215","기기자동측정및제어장치제조업","Electronics"
"425","27216","산업처리공정 제어장비 제조업","Electronics"
"426","27322","사진기 영사기및관련장비제조업","Electronics"
"427","27310","안경 제조업","Electronics"
"428","27321","광학렌즈 및 광학요소 제조업","Electronics"
"429","27329","기타 광학기기 제조업","Electronics"
"430","27401","시계제조업","Electronics"
"431","27402","시계부품 제조업","Electronics"
"432","26120","다이오드, 트랜지스터 및 유사 반도체소자 제조업","Semidis"
"433","26110","전자집적회로 제조업","Semidis"
"434","26211","액정 평판 디스플레이 제조업","Semidis"
"435","26219","플라즈마기타평판디스플레이제조","Semidis"
"436","26291","전자관 제조업","Semidis"
"437","26221","인쇄회로기판 제조업","Semidis"
"438","26222","전자부품 실장기판 제조업","Semidis"
"439","26292","전자축전기 제조업","Semidis"
"440","26293","전자저항기 제조업","Semidis"
"441","26295","전자코일, 변성기 및 기타 전자유도자 제조업","Semidis"
"442","26294","전자카드 제조업","Semidis"
"443","26296","전자접속카드 제조업","Semidis"
"444","26299","그외 기타 전자부품 제조업","Semidis"
"445","26600","마그네틱 및 광학 매체 제조업","Semidis"
"446","26310","컴퓨터 제조업","Semidis"
"447","26321","기억장치 제조업","Semidis"
"448","26322","컴퓨터 모니터 제조업","Semidis"
"449","26323","컴퓨터 프린터 제조업","Semidis"
"450","26329","기타 주변기기 제조업","Semidis"
"451","26410","유선 통신장비 제조업","Semidis"
"452","26422","이동전화기 제조업","Semidis"
"453","26429","기타 무선 통신장비 제조업","Semidis"
"454","26511","텔레비전 제조업","Semidis"
"455","26519","비디오 및 기타 영상기기 제조업","Semidis"
"456","26521","라디오, 녹음 및 재생 기기 제조업","Semidis"
"457","26529","기타 음향기기 제조업","Semidis"
"458","26421","방송장비 제조업","Semidis"
"459","30121","승용차기타여객용자동차제조업","Auto"
"460","30122","화물및 특수목적용 자동차 제조업","Auto"
"461","30201","차체 및 특장차 제조업","Auto"
"462","30202","트레일러 및 세미트레일러 제조업","Auto"
"463","30203","운송용 컨테이너 제조업","Auto"
"464","30110","자동차용 엔진 제조업","Auto"
"465","30310","자동차 엔진용 부품 제조업","Auto"
"466","30320","자동차 차체용 부품 제조업","Auto"
"467","30391","자동차용 동력전달장치 제조업","Auto"
"468","30399","그외 기타 자동차 부품 제조업","Auto"
"469","31111","강선 건조업","Ship"
"470","31112","합성수지선 건조업","Ship"
"471","31113","비철금속기타항해용선박건조업","Ship"
"472","31119","기타 선박 건조업","Ship"
"473","31120","오락 및 스포츠용 보트 건조업","Ship"
"474","31114","선박 구성부분품 제조업","Ship"
"475","31201","기관차 및 기타 철도차량 제조업","Ship"
"476","31202","철도차량부품및관련장치물제조업","Ship"
"477","31310","항공기,우주선 및 보조장치 제조업","Ship"
"478","31321","항공기용 엔진 제조업","Ship"
"479","31322","항공기용 부품 제조업","Ship"
"480","31920","모터사이클 제조업","Ship"
"481","31910","전투용 차량 제조업","Ship"
"482","31991","자전거 및 환자용 차량 제조업","Ship"
"483","31999","그외 기타 달리 분류되지 않은 운송장비 제조업","Ship"
"484","32021","주방용음식점용목재가구제조업","MissManu"
"485","32022","나전칠기가구 제조업","MissManu"
"486","32029","기타 목재가구 제조업","MissManu"
"487","32091","금속 가구 제조업","MissManu"
"488","32011","운송장비용 의자 제조업","MissManu"
"489","32012","매트리스 및 침대 제조업","MissManu"
"490","32019","소파 및 기타 내장가구 제조업","MissManu"
"491","32099","그외 기타 가구 제조업","MissManu"
"492","33401","인형 및 장난감 제조업","MissManu"
"493","33402","영상게임기 제조업","MissManu"
"494","33409","기타 오락용품 제조업","MissManu"
"495","33301","체조육상체력단련용장비제조업","MissManu"
"496","33302","놀이터용 장비 제조업","MissManu"
"497","33303","낚시 및 수렵용구 제조업","MissManu"
"498","33309","기타 운동 및 경기용구 제조업","MissManu"
"499","33201","피아노 제조업","MissManu"
"500","33202","현악기 제조업","MissManu"
"501","33203","전자악기 제조업","MissManu"
"502","33204","국악기 제조업","MissManu"
"503","33209","기타 악기 제조업","MissManu"
"504","33920","사무 및 회화용품 제조업","MissManu"
"505","33110","귀금속 및 관련제품 제조업","MissManu"
"506","33120","모조 귀금속 및 모조 장신용품 제조업","MissManu"
"507","33910","간판 및 광고물 제조업","MissManu"
"508","33931","가발 및 유사 제품 제조업","MissManu"
"509","33932","조화 및 모조장식품 제조업","MissManu"
"510","33933","표구 및 전사처리 제조업","MissManu"
"511","33934","교시용 모형 제조업","MissManu"
"512","33991","우산 및 지팡이 제조업","MissManu"
"513","33992","단추 및 유사 파스너 제조업","MissManu"
"514","33993","라이터,연소물및흡연용품제조업","MissManu"
"515","33994","비 및 솔 제조업","MissManu"
"516","33999","그외기타분류되지않은제품제조업","MissManu"
