basecode_row,row_name,sector_row,basecode_column,col_name,sector_column,sector_ind,sector_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict,BR_ind,BR_name,Energy.IND,Sector_BR.N,Sector_BR
60,비알콜음료 및 얼음,28,60,비알콜음료 및 얼음,28,,,,,,,,,,,,,
61,담배,28,61,담배,28,,,,,,,,,,,,,
62,천연 섬유사,20,62,천연 섬유사,20,,,,,,,,,,,,,
63,화학 섬유사,20,63,화학 섬유사,20,,,,,,,,,,,,,
64,기타 섬유사,20,64,기타 섬유사,20,,,,,,,,,,,,,
65,천연섬유직물,20,65,천연섬유직물,20,,,,,,,,,,,,,
66,화학섬유직물,20,66,화학섬유직물,20,,,,,,,,,,,,,
67,기타 섬유직물,20,67,기타 섬유직물,20,,,,,,,,,,,,,
68,편조원단,20,68,편조원단,20,,,,,,,,,,,,,
69,섬유표백 및 염색,20,69,섬유표백 및 염색,20,,,,,,,,,,,,,
70,직물제품,20,70,직물제품,20,,,,,,,,,,,,,
71,"끈, 로프 및 어망",20,71,"끈, 로프 및 어망",20,,,,,,,,,,,,,
72,기타 섬유제품,20,72,기타 섬유제품,20,,,,,,,,,,,,,
73,봉제의류,20,73,봉제의류,20,,,,,,,,,,,,,
74,편조의류,20,74,편조의류,20,,,,,,,,,,,,,
75,가죽의류,20,75,가죽의류,20,,,,,,,,,,,,,
76,모피의류 및 모피제품,20,76,모피의류 및 모피제품,20,,,,,,,,,,,,,
77,의복관련 장신품,20,77,의복관련 장신품,20,,,,,,,,,,,,,
78,가죽,20,78,가죽,20,,,,,,,,,,,,,
79,모피,20,79,모피,20,,,,,,,,,,,,,
80,가방 및 핸드백,20,80,가방 및 핸드백,20,,,,,,,,,,,,,
81,신발,20,81,신발,20,,,,,,,,,,,,,
82,기타 가죽제품,20,82,기타 가죽제품,20,,,,,,,,,,,,,
83,제재목,19,83,제재목,19,,,,,,,,,,,,,
84,합판,19,84,합판,19,,,,,,,,,,,,,
85,강화 및 재생목재,19,85,강화 및 재생목재,19,,,,,,,,,,,,,
86,건축용 목제품,19,86,건축용 목제품,19,,,,,,,,,,,,,
87,목재 용기 및 적재판,19,87,목재 용기 및 적재판,19,,,,,,,,,,,,,
88,기타 목제품,19,88,기타 목제품,19,,,,,,,,,,,,,
89,펄프,19,89,펄프,19,,,,,,,,,,,,,
90,인쇄용지,19,90,인쇄용지,19,,,,,,,,,,,,,
91,기타 원지 및 판지,19,91,기타 원지 및 판지,19,,,,,,,,,,,,,
92,골판지 및 골판지상자,19,92,골판지 및 골판지상자,19,,,,,,,,,,,,,
93,종이용기,19,93,종이용기,19,,,,,,,,,,,,,
94,종이문구 및 사무용지,19,94,종이문구 및 사무용지,19,,,,,,,,,,,,,
95,위생용 종이제품,19,95,위생용 종이제품,19,,,,,,,,,,,,,
96,기타 종이제품,19,96,기타 종이제품,19,,,,,,,,,,,,,
97,인쇄,19,97,인쇄,19,,,,,,,,,,,,,
98,기록매체 복제,19,98,기록매체 복제,19,,,,,,,,,,,,,
99,석탄 코크스 및 관련제품,11,99,석탄 코크스 및 관련제품,11,,,,,,,,,,,,,
100,연탄,11,100,연탄,11,,,,,,,,,,,,,
101,나프타,10,101,나프타,10,,,,,,,,,,,,,
102,휘발유,4,102,휘발유,4,,,,,,,,,,,,,
103,제트유,5,103,제트유,5,,,,,,,,,,,,,
104,등유,7,104,등유,7,,,,,,,,,,,,,
105,경유,6,105,경유,6,,,,,,,,,,,,,
106,중유,8,106,중유,8,,,,,,,,,,,,,
107,액화석유가스,9,107,액화석유가스,9,,,,,,,,,,,,,
108,정제혼합용 원료유,10,108,정제혼합용 원료유,10,,,,,,,,,,,,,
109,윤활유 및 그리스,10,109,윤활유 및 그리스,10,,,,,,,,,,,,,
110,기타 석유정제제품,10,110,기타 석유정제제품,10,,,,,,,,,,,,,
111,지방족 기초유분,18,111,지방족 기초유분,18,,,,,,,,,,,,,
112,방향족 기초유분,18,112,방향족 기초유분,18,,,,,,,,,,,,,
113,석유화학중간제품,18,113,석유화학중간제품,18,,,,,,,,,,,,,
114,석탄화합물,18,114,석탄화합물,18,,,,,,,,,,,,,
115,기타 기초유기화합물,18,115,기타 기초유기화합물,18,,,,,,,,,,,,,
116,산업용 가스,18,116,산업용 가스,18,,,,,,,,,,,,,
117,기초무기화합물,18,117,기초무기화합물,18,,,,,,,,,,,,,
118,"염료, 안료 및 유연제",18,118,"염료, 안료 및 유연제",18,,,,,,,,,,,,,
119,합성수지,18,119,합성수지,18,,,,,,,,,,,,,
120,합성고무,18,120,합성고무,18,,,,,,,,,,,,,
121,화학섬유,20,121,화학섬유,20,,,,,,,,,,,,,
122,의약품,18,122,의약품,18,,,,,,,,,,,,,
123,비료 및 질소화합물,18,123,비료 및 질소화합물,18,,,,,,,,,,,,,
124,살충제 및 농약,18,124,살충제 및 농약,18,,,,,,,,,,,,,
125,도료,18,125,도료,18,,,,,,,,,,,,,
126,잉크,18,126,잉크,18,,,,,,,,,,,,,
127,"비누, 세제 및 치약",18,127,"비누, 세제 및 치약",18,,,,,,,,,,,,,
128,화장품,18,128,화장품,18,,,,,,,,,,,,,
129,접착제 및 젤라틴,18,129,접착제 및 젤라틴,18,,,,,,,,,,,,,
130,사진용 화학제품 및 감광재료,18,130,사진용 화학제품 및 감광재료,18,,,,,,,,,,,,,
131,기타 화학제품,18,131,기타 화학제품,18,,,,,,,,,,,,,
132,플라스틱 1차제품,18,132,플라스틱 1차제품,18,,,,,,,,,,,,,
133,건축용 플라스틱제품,18,133,건축용 플라스틱제품,18,,,,,,,,,,,,,
134,포장용 플라스틱제품,18,134,포장용 플라스틱제품,18,,,,,,,,,,,,,
135,조립용 플라스틱제품,18,135,조립용 플라스틱제품,18,,,,,,,,,,,,,
136,기타 플라스틱제품,18,136,기타 플라스틱제품,18,,,,,,,,,,,,,
137,타이어 및 튜브,18,137,타이어 및 튜브,18,,,,,,,,,,,,,
138,산업용 고무제품,18,138,산업용 고무제품,18,,,,,,,,,,,,,
139,기타 고무제품,18,139,기타 고무제품,18,,,,,,,,,,,,,
140,판유리 및 1차유리,21,140,판유리 및 1차유리,21,,,,,,,,,,,,,
141,전자기기용 유리제품,21,141,전자기기용 유리제품,21,,,,,,,,,,,,,
142,산업용(전자기기 제외) 유리제품,21,142,산업용(전자기기 제외) 유리제품,21,,,,,,,,,,,,,
143,기타 유리제품,21,143,기타 유리제품,21,,,,,,,,,,,,,
144,가정용 도자기,21,144,가정용 도자기,21,,,,,,,,,,,,,
145,산업용 도자기,21,145,산업용 도자기,21,,,,,,,,,,,,,
146,내화 요업제품,21,146,내화 요업제품,21,,,,,,,,,,,,,
147,건설용 비내화 요업제품,21,147,건설용 비내화 요업제품,21,,,,,,,,,,,,,
148,시멘트,17,148,시멘트,17,,,,,,,,,,,,,
149,레미콘,17,149,레미콘,17,,,,,,,,,,,,,
150,콘크리트제품,17,150,콘크리트제품,17,,,,,,,,,,,,,
151,석회 및 석고제품,17,151,석회 및 석고제품,17,,,,,,,,,,,,,
152,석제품,17,152,석제품,17,,,,,,,,,,,,,
153,연마재,17,153,연마재,17,,,,,,,,,,,,,
154,아스콘 및 아스팔트 제품,17,154,아스콘 및 아스팔트 제품,17,,,,,,,,,,,,,
155,석면 및 암면,17,155,석면 및 암면,17,,,,,,,,,,,,,
156,기타 비금속광물제품,17,156,기타 비금속광물제품,17,,,,,,,,,,,,,
157,선철,16,157,선철,16,,,,,,,,,,,,,
158,합금철,16,158,합금철,16,,,,,,,,,,,,,
159,조강,16,159,조강,16,,,,,,,,,,,,,
160,철근 및 봉강,16,160,철근 및 봉강,16,,,,,,,,,,,,,
161,형강,16,161,형강,16,,,,,,,,,,,,,
162,선재 및 궤조,16,162,선재 및 궤조,16,,,,,,,,,,,,,
163,열연 후판 및 강판,16,163,열연 후판 및 강판,16,,,,,,,,,,,,,
164,강선,16,164,강선,16,,,,,,,,,,,,,
165,철강관,16,165,철강관,16,,,,,,,,,,,,,
166,냉간압연강재,16,166,냉간압연강재,16,,,,,,,,,,,,,
167,표면처리강재,16,167,표면처리강재,16,,,,,,,,,,,,,
168,기타 철강1차제품,16,168,기타 철강1차제품,16,,,,,,,,,,,,,
169,"동 제련, 정련 및 합금제품",22,169,"동 제련, 정련 및 합금제품",22,,,,,,,,,,,,,
170,"알루미늄 제련, 정련 및 합금제품",22,170,"알루미늄 제련, 정련 및 합금제품",22,,,,,,,,,,,,,
171,"연 및 아연 제련, 정련 및 합금제품",22,171,"연 및 아연 제련, 정련 및 합금제품",22,,,,,,,,,,,,,
172,금은괴,22,172,금은괴,22,,,,,,,,,,,,,
173,"기타 비철금속 제련, 정련 및 합금제품",22,173,"기타 비철금속 제련, 정련 및 합금제품",22,,,,,,,,,,,,,
174,동 1차제품,22,174,동 1차제품,22,,,,,,,,,,,,,
175,알루미늄 1차제품,22,175,알루미늄 1차제품,22,,,,,,,,,,,,,
176,기타 비철금속 1차제품,22,176,기타 비철금속 1차제품,22,,,,,,,,,,,,,
177,금속 주물,22,177,금속 주물,22,,,,,,,,,,,,,
178,건축용 금속제품,23,178,건축용 금속제품,23,,,,,,,,,,,,,
179,구조물용 금속제품,23,179,구조물용 금속제품,23,,,,,,,,,,,,,
180,금속제 탱크 및 압력용기,23,180,금속제 탱크 및 압력용기,23,,,,,,,,,,,,,
181,산업용 보일러 및 증기발생기,23,181,산업용 보일러 및 증기발생기,23,,,,,,,,,,,,,
182,금속 단조 및 야금제품,23,182,금속 단조 및 야금제품,23,,,,,,,,,,,,,
183,금속압형제품,23,183,금속압형제품,23,,,,,,,,,,,,,
184,금속처리,23,184,금속처리,23,,,,,,,,,,,,,
185,금속처리 가공품,23,185,금속처리 가공품,23,,,,,,,,,,,,,
186,가정용 금속제품,23,186,가정용 금속제품,23,,,,,,,,,,,,,
187,부착용 금속제품,23,187,부착용 금속제품,23,,,,,,,,,,,,,
188,공구류,23,188,공구류,23,,,,,,,,,,,,,
189,나사 및 철선 제품,23,189,나사 및 철선 제품,23,,,,,,,,,,,,,
190,금속포장용기,23,190,금속포장용기,23,,,,,,,,,,,,,
191,기타 금속제품,23,191,기타 금속제품,23,,,,,,,,,,,,,
192,내연기관 및 터빈,23,192,내연기관 및 터빈,23,,,,,,,,,,,,,
193,펌프 및 압축기,23,193,펌프 및 압축기,23,,,,,,,,,,,,,
194,밸브,23,194,밸브,23,,,,,,,,,,,,,
195,"베어링, 기어 및 동력전달장치",23,195,"베어링, 기어 및 동력전달장치",23,,,,,,,,,,,,,
196,산업용 운반기계,23,196,산업용 운반기계,23,,,,,,,,,,,,,
197,공기조절 장치 및 냉장 냉동 장비,23,197,공기조절 장치 및 냉장 냉동 장비,23,,,,,,,,,,,,,
198,공기 및 액체 여과기,23,198,공기 및 액체 여과기,23,,,,,,,,,,,,,
199,사무용 기기,23,199,사무용 기기,23,,,,,,,,,,,,,
200,기타 일반목적용기계,23,200,기타 일반목적용기계,23,,,,,,,,,,,,,
201,농업용 기계,23,201,농업용 기계,23,,,,,,,,,,,,,
202,건설 및 광산용 기계,23,202,건설 및 광산용 기계,23,,,,,,,,,,,,,
203,금속 절삭기계,23,203,금속 절삭기계,23,,,,,,,,,,,,,
204,금속 성형기계,23,204,금속 성형기계,23,,,,,,,,,,,,,
205,금형 및 주형,23,205,금형 및 주형,23,,,,,,,,,,,,,
206,반도체 제조용 기계,23,206,반도체 제조용 기계,23,,,,,,,,,,,,,
207,디스플레이 제조용 기계,23,207,디스플레이 제조용 기계,23,,,,,,,,,,,,,
208,음식료품 가공기계,23,208,음식료품 가공기계,23,,,,,,,,,,,,,
209,섬유 및 의복 가공기계,23,209,섬유 및 의복 가공기계,23,,,,,,,,,,,,,
210,산업용 로봇,23,210,산업용 로봇,23,,,,,,,,,,,,,
211,제지 및 인쇄기계,23,211,제지 및 인쇄기계,23,,,,,,,,,,,,,
212,고무 및 플라스틱 성형기계,23,212,고무 및 플라스틱 성형기계,23,,,,,,,,,,,,,
213,기타 특수목적용기계,23,213,기타 특수목적용기계,23,,,,,,,,,,,,,
214,발전기 및 전동기,24,214,발전기 및 전동기,24,,,,,,,,,,,,,
215,변압기,24,215,변압기,24,,,,,,,,,,,,,
216,전기변환장치,24,216,전기변환장치,24,,,,,,,,,,,,,
217,전기회로 개폐 및 접속장치,24,217,전기회로 개폐 및 접속장치,24,,,,,,,,,,,,,
218,배전반 및 전기자동제어반,24,218,배전반 및 전기자동제어반,24,,,,,,,,,,,,,
219,전지,24,219,전지,24,,,,,,,,,,,,,
220,전선 및 케이블,24,220,전선 및 케이블,24,,,,,,,,,,,,,
221,전구 및 램프,24,221,전구 및 램프,24,,,,,,,,,,,,,
222,조명장치,24,222,조명장치,24,,,,,,,,,,,,,
223,기타 전기장비,24,223,기타 전기장비,24,,,,,,,,,,,,,
224,개별소자,25,224,개별소자,25,,,,,,,,,,,,,
225,집적회로,25,225,집적회로,25,,,,,,,,,,,,,
226,LCD 평판 디스플레이,25,226,LCD 평판 디스플레이,25,,,,,,,,,,,,,
227,기타 전자표시장치,25,227,기타 전자표시장치,25,,,,,,,,,,,,,
228,인쇄회로기판 및 실장기판,25,228,인쇄회로기판 및 실장기판,25,,,,,,,,,,,,,
229,"축전기, 저항기, 전자코일 및 변성기",25,229,"축전기, 저항기, 전자코일 및 변성기",25,,,,,,,,,,,,,
230,기타 전자부품,25,230,기타 전자부품,25,,,,,,,,,,,,,
231,컴퓨터,25,231,컴퓨터,25,,,,,,,,,,,,,
232,컴퓨터 기억장치,25,232,컴퓨터 기억장치,25,,,,,,,,,,,,,
233,컴퓨터 주변기기,25,233,컴퓨터 주변기기,25,,,,,,,,,,,,,
234,유선통신기기,25,234,유선통신기기,25,,,,,,,,,,,,,
235,이동전화기,25,235,이동전화기,25,,,,,,,,,,,,,
236,기타 무선통신장비 및 방송장비,25,236,기타 무선통신장비 및 방송장비,25,,,,,,,,,,,,,
237,TV,25,237,TV,25,,,,,,,,,,,,,
238,영상기기,25,238,영상기기,25,,,,,,,,,,,,,
239,오디오 및 음향기기,25,239,오디오 및 음향기기,25,,,,,,,,,,,,,
240,가정용 냉장고 및 냉동고,24,240,가정용 냉장고 및 냉동고,24,,,,,,,,,,,,,
241,주방용 및 난방용 전기기기,24,241,주방용 및 난방용 전기기기,24,,,,,,,,,,,,,
242,기타 가정용 전기기기,24,242,기타 가정용 전기기기,24,,,,,,,,,,,,,
243,의료용 기기,24,243,의료용 기기,24,,,,,,,,,,,,,
244,측정 및 분석기,24,244,측정 및 분석기,24,,,,,,,,,,,,,
245,자동조정 및 제어기기,24,245,자동조정 및 제어기기,24,,,,,,,,,,,,,
246,사진기 및 영사기,24,246,사진기 및 영사기,24,,,,,,,,,,,,,
247,안경 및 기타광학기기,24,247,안경 및 기타광학기기,24,,,,,,,,,,,,,
248,시계,24,248,시계,24,,,,,,,,,,,,,
249,승용차,26,249,승용차,26,,,,,,,,,,,,,
250,버스,26,250,버스,26,,,,,,,,,,,,,
251,트럭,26,251,트럭,26,,,,,,,,,,,,,
252,특장차,26,252,특장차,26,,,,,,,,,,,,,
253,트레일러 및 컨테이너,26,253,트레일러 및 컨테이너,26,,,,,,,,,,,,,
254,자동차용 엔진,26,254,자동차용 엔진,26,,,,,,,,,,,,,
255,자동차 부분품,26,255,자동차 부분품,26,,,,,,,,,,,,,
256,강철제 선박,27,256,강철제 선박,27,,,,,,,,,,,,,
257,기타 선박,27,257,기타 선박,27,,,,,,,,,,,,,
258,선박 수리 및 부분품,27,258,선박 수리 및 부분품,27,,,,,,,,,,,,,
259,철도차량,27,259,철도차량,27,,,,,,,,,,,,,
260,항공기,27,260,항공기,27,,,,,,,,,,,,,
261,모터사이클,27,261,모터사이클,27,,,,,,,,,,,,,
262,기타 운수장비,27,262,기타 운수장비,27,,,,,,,,,,,,,
263,목재 가구,29,263,목재 가구,29,,,,,,,,,,,,,
264,금속 가구,29,264,금속 가구,29,,,,,,,,,,,,,
265,기타 가구,29,265,기타 가구,29,,,,,,,,,,,,,
266,장난감 및 오락용품,29,266,장난감 및 오락용품,29,,,,,,,,,,,,,
267,운동 및 경기용품,29,267,운동 및 경기용품,29,,,,,,,,,,,,,
268,악기,29,268,악기,29,,,,,,,,,,,,,
269,문방구,29,269,문방구,29,,,,,,,,,,,,,
270,귀금속 및 보석,29,270,귀금속 및 보석,29,,,,,,,,,,,,,
271,모형 및 장식용품,29,271,모형 및 장식용품,29,,,,,,,,,,,,,
272,기타 제조업제품,29,272,기타 제조업제품,29,,,,,,,,,,,,,
273,제조임가공서비스,29,273,제조임가공서비스,29,,,,,,,,,,,,,
274,수력,1,274,수력,1,,,,,,,,,,,,,
275,화력,1,275,화력,1,,,,,,,,,,,,,
276,원자력,1,276,원자력,1,,,,,,,,,,,,,
277,자가발전,1,277,자가발전,1,,,,,,,,,,,,,
278,신재생에너지,1,278,신재생에너지,1,,,,,,,,,,,,,
279,도시가스,2,279,도시가스,2,,,,,,,,,,,,,
280,증기 및 온수,3,280,증기 및 온수,3,,,,,,,,,,,,,
281,수도,38,281,수도,38,,,,,,,,,,,,,
282,하수 폐수 및 분뇨처리(국공립),53,282,하수 폐수 및 분뇨처리(국공립),53,,,,,,,,,,,,,
283,하수 폐수 및 분뇨처리(산업),53,283,하수 폐수 및 분뇨처리(산업),53,,,,,,,,,,,,,
284,폐기물 수집 운반 및 처리(국공립),53,284,폐기물 수집 운반 및 처리(국공립),53,,,,,,,,,,,,,
285,폐기물 수집 운반 및 처리(산업),53,285,폐기물 수집 운반 및 처리(산업),53,,,,,,,,,,,,,
286,자원재활용서비스,53,286,자원재활용서비스,53,,,,,,,,,,,,,
287,주거용 건물,30,287,주거용 건물,30,,,,,,,,,,,,,
288,비주거용 건물,30,288,비주거용 건물,30,,,,,,,,,,,,,
289,건축보수,30,289,건축보수,30,,,,,,,,,,,,,
290,도로시설,30,290,도로시설,30,,,,,,,,,,,,,
291,철도시설,30,291,철도시설,30,,,,,,,,,,,,,
292,항만시설,30,292,항만시설,30,,,,,,,,,,,,,
293,하천사방,30,293,하천사방,30,,,,,,,,,,,,,
294,상하수도시설,30,294,상하수도시설,30,,,,,,,,,,,,,
295,농림수산토목,30,295,농림수산토목,30,,,,,,,,,,,,,
296,도시토목,30,296,도시토목,30,,,,,,,,,,,,,
297,환경정화시설,30,297,환경정화시설,30,,,,,,,,,,,,,
298,통신시설,30,298,통신시설,30,,,,,,,,,,,,,
299,전력시설,30,299,전력시설,30,,,,,,,,,,,,,
300,산업플랜트,30,300,산업플랜트,30,,,,,,,,,,,,,
301,기타 건설,30,301,기타 건설,30,,,,,,,,,,,,,
302,도매서비스,37,302,도매서비스,37,,,,,,,,,,,,,
303,소매서비스,37,303,소매서비스,37,,,,,,,,,,,,,
304,철도여객 운송서비스,31,304,철도여객 운송서비스,31,,,,,,,,,,,,,
305,철도화물 운송서비스,31,305,철도화물 운송서비스,31,,,,,,,,,,,,,
306,도로여객 운송서비스,32,306,도로여객 운송서비스,32,,,,,,,,,,,,,
307,도로화물 운송서비스,32,307,도로화물 운송서비스,32,,,,,,,,,,,,,
308,소화물 전문 운송서비스,35,308,소화물 전문 운송서비스,35,,,,,,,,,,,,,
309,연안 및 내륙수상 운송서비스,34,309,연안 및 내륙수상 운송서비스,34,,,,,,,,,,,,,
310,외항운송서비스,34,310,외항운송서비스,34,,,,,,,,,,,,,
311,항공운송서비스,33,311,항공운송서비스,33,,,,,,,,,,,,,
312,육상운송보조서비스,35,312,육상운송보조서비스,35,,,,,,,,,,,,,
313,수상운송보조서비스,35,313,수상운송보조서비스,35,,,,,,,,,,,,,
314,항공운송보조서비스,35,314,항공운송보조서비스,35,,,,,,,,,,,,,
315,하역서비스,35,315,하역서비스,35,,,,,,,,,,,,,
316,보관 및 창고서비스,35,316,보관 및 창고서비스,35,,,,,,,,,,,,,
317,기타 운송관련서비스,35,317,기타 운송관련서비스,35,,,,,,,,,,,,,
318,일반음식점,37,318,일반음식점,37,,,,,,,,,,,,,
319,주점,37,319,주점,37,,,,,,,,,,,,,
320,기타음식점,37,320,기타음식점,37,,,,,,,,,,,,,
321,숙박,37,321,숙박,37,,,,,,,,,,,,,
322,우편서비스,37,322,우편서비스,37,,,,,,,,,,,,,
323,유선통신서비스,37,323,유선통신서비스,37,,,,,,,,,,,,,
324,무선통신서비스,37,324,무선통신서비스,37,,,,,,,,,,,,,
325,기타 전기통신서비스,37,325,기타 전기통신서비스,37,,,,,,,,,,,,,
326,지상파 방송서비스,37,326,지상파 방송서비스,37,,,,,,,,,,,,,
327,"유선, 위성 및 기타방송",37,327,"유선, 위성 및 기타방송",37,,,,,,,,,,,,,
328,정보서비스,37,328,정보서비스,37,,,,,,,,,,,,,
329,소프트웨어 개발 공급,37,329,소프트웨어 개발 공급,37,,,,,,,,,,,,,
330,컴퓨터관리서비스,37,330,컴퓨터관리서비스,37,,,,,,,,,,,,,
331,신문,37,331,신문,37,,,,,,,,,,,,,
332,출판,37,332,출판,37,,,,,,,,,,,,,
333,영상 · 오디오물 제작 및 배급,37,333,영상 · 오디오물 제작 및 배급,37,,,,,,,,,,,,,
334,영화상영,37,334,영화상영,37,,,,,,,,,,,,,
335,중앙은행 및 예금취급기관,37,335,중앙은행 및 예금취급기관,37,,,,,,,,,,,,,
336,금융투자기관,37,336,금융투자기관,37,,,,,,,,,,,,,
337,기타 금융중개기관,37,337,기타 금융중개기관,37,,,,,,,,,,,,,
338,생명보험,37,338,생명보험,37,,,,,,,,,,,,,
339,비생명보험,37,339,비생명보험,37,,,,,,,,,,,,,
340,금융 및 보험 보조서비스,37,340,금융 및 보험 보조서비스,37,,,,,,,,,,,,,
341,주거서비스,36,341,주거서비스,36,,,,,,,,,,,,,
342,비주거용 건물 임대,37,342,비주거용 건물 임대,37,,,,,,,,,,,,,
