Big,B_name,Middle,M_name,Small,S_name,Micro,Micro_name,Tiny,Tiny_name,KAIST,Ebalance,현재 CGE,현재 CGE (한글),조정 CGE ,Change,Defence,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1071,"떡, 빵 및 과자류 제조업",10713,코코아 제품 및 과자류 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1072,설탕 제조업,10720,설탕 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1073,면류마카로니유사식품제조업,10730,"면류, 마카로니및유사식품 제조업",음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1074,조미료 및 식품 첨가물 제조업,10741,"식초, 발효 및 화학 조미료 제조업",음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1074,조미료 및 식품 첨가물 제조업,10742,천연 및 혼합조제 조미료 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1074,조미료 및 식품 첨가물 제조업,10743,장류 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1074,조미료 및 식품 첨가물 제조업,10749,기타 식품 첨가물 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10791,커피 가공업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10792,차류 가공업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10793,수프 및 균질화식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10794,두부 및 유사식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10795,인삼식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10796,건강보조용 액화식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10797,건강기능식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10798,도시락식사용 조리식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,107,기타 식품 제조업,1079,기타 식료품 제조업,10799,그외 기타 식료품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,10,식료품제조업,108,동물용 사료 및 조제식품 제조업,1080,동물용 사료 및 조제식품 제조업,10800,동물용 사료 및 조제식품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11111,탁주 및 약주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11112,청주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11113,맥아 및 맥주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11113,맥아 및 맥주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1111,발효주 제조업,11119,기타 발효주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1112,증류주 및 합성주 제조업,11121,주정 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1112,증류주 및 합성주 제조업,11122,소주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,111,알콜음료 제조업,1112,증류주 및 합성주 제조업,11129,기타 증류주 및 합성주 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,112,비알콜음료 및 얼음 제조업,1120,비알콜음료 및 얼음 제조업,11201,얼음 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,112,비알콜음료 및 얼음 제조업,1120,비알콜음료 및 얼음 제조업,11202,생수 생산업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,11,음료 제조업,112,비알콜음료 및 얼음 제조업,1120,비알콜음료 및 얼음 제조업,11209,기타 비알콜음료 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,12,담배 제조업,120,담배 제조업,1200,담배 제조업,12001,담배 재건조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,12,담배 제조업,120,담배 제조업,1200,담배 제조업,12002,담배제품 제조업,음식료품,음식담배,Food,음식료품,Food,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,13101,면 방적업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,13102,모 방적업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,13103,화학섬유 방적업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,13104,연사 및 가공사 제조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,13109,기타 방적업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,13109,기타 방적업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1321,직물 직조업,13211,면직물 직조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1321,직물 직조업,13212,모직물 직조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1321,직물 직조업,13213,화학섬유직물 직조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1321,직물 직조업,13214,견직물 직조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1321,직물 직조업,13219,특수직물 및 기타직물 직조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1322,직물제품 제조업,13221,침구 및 관련제품 제조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1322,직물제품 제조업,13222,자수제품 및 자수용재료 제조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1322,직물제품 제조업,13223,커튼 및 유사제품 제조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1322,직물제품 제조업,13224,천막 및 기타 캔버스 제품 제조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1322,직물제품 제조업,13225,직물포대 제조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,132,직물직조 및 직물제품 제조업,1322,직물제품 제조업,13229,기타 직물제품 제조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,133,편조원단 및 편조제품 제조업,1331,편조원단 제조업,13310,편조원단 제조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
C,제조업,13,섬유제품 제조업; 의복제외,133,편조원단 및 편조제품 제조업,1332,편조제품 제조업,13320,편조제품 제조업,섬유의복,섬유의복,FiberLeather,섬유가죽,FiberLeather,KEEP,,
