t,Emiter,Q_Emitter,CCF,Q_gas,GHG,CRF,Unit,Ind_2F7
2007,horse,23,18,,CH4,4A,1000h,
2008,horse,25,18,,CH4,4A,1000h,
2009,horse,27,18,,CH4,4A,1000h,
2010,horse,29,18,,CH4,4A,1000h,
1990,duck,717,0,,CH4,4A,1000h,
1991,duck,953,0,,CH4,4A,1000h,
1992,duck,984,0,,CH4,4A,1000h,
1993,duck,1089,0,,CH4,4A,1000h,
1994,duck,1178,0,,CH4,4A,1000h,
1995,duck,1615,0,,CH4,4A,1000h,
1996,duck,2426,0,,CH4,4A,1000h,
1997,duck,2844,0,,CH4,4A,1000h,
1998,duck,3114,0,,CH4,4A,1000h,
1999,duck,3555,0,,CH4,4A,1000h,
2000,duck,4363,0,,CH4,4A,1000h,
2001,duck,5545,0,,CH4,4A,1000h,
2002,duck,6558,0,,CH4,4A,1000h,
2003,duck,7852,0,,CH4,4A,1000h,
2004,duck,8369,0,,CH4,4A,1000h,
2005,duck,8557,0,,CH4,4A,1000h,
2006,duck,8680,0,,CH4,4A,1000h,
2007,duck,9429,0,,CH4,4A,1000h,
2008,duck,9867,0,,CH4,4A,1000h,
2009,duck,10983,0,,CH4,4A,1000h,
2010,duck,12278,0,,CH4,4A,1000h,
1990,deer,53,5,,CH4,4A,1000h,
1991,deer,57,5,,CH4,4A,1000h,
1992,deer,62,5,,CH4,4A,1000h,
1993,deer,70,5,,CH4,4A,1000h,
1994,deer,77,5,,CH4,4A,1000h,
1995,deer,87,5,,CH4,4A,1000h,
1996,deer,98,5,,CH4,4A,1000h,
1997,deer,113,5,,CH4,4A,1000h,
1998,deer,126,5,,CH4,4A,1000h,
1999,deer,135,5,,CH4,4A,1000h,
2000,deer,143,5,,CH4,4A,1000h,
2001,deer,149,5,,CH4,4A,1000h,
2002,deer,153,5,,CH4,4A,1000h,
2003,deer,151,5,,CH4,4A,1000h,
2004,deer,146,5,,CH4,4A,1000h,
2005,deer,136,5,,CH4,4A,1000h,
2006,deer,125,5,,CH4,4A,1000h,
2007,deer,111,5,,CH4,4A,1000h,
2008,deer,96,5,,CH4,4A,1000h,
2009,deer,84,5,,CH4,4A,1000h,
2010,deer,73,5,,CH4,4A,1000h,
1990,DairlyCattle,504,36,,CH4,4B,1000h,
1991,DairlyCattle,500,36,,CH4,4B,1000h,
1992,DairlyCattle,503,36,,CH4,4B,1000h,
1993,DairlyCattle,519,36,,CH4,4B,1000h,
1994,DairlyCattle,538,36,,CH4,4B,1000h,
1995,DairlyCattle,553,36,,CH4,4B,1000h,
1996,DairlyCattle,552,36,,CH4,4B,1000h,
1997,DairlyCattle,550,36,,CH4,4B,1000h,
1998,DairlyCattle,545,36,,CH4,4B,1000h,
1999,DairlyCattle,539,36,,CH4,4B,1000h,
2000,DairlyCattle,539,36,,CH4,4B,1000h,
2001,DairlyCattle,542,36,,CH4,4B,1000h,
2002,DairlyCattle,545,36,,CH4,4B,1000h,
2003,DairlyCattle,537,36,,CH4,4B,1000h,
2004,DairlyCattle,520,36,,CH4,4B,1000h,
2005,DairlyCattle,498,36,,CH4,4B,1000h,
2006,DairlyCattle,485,36,,CH4,4B,1000h,
2007,DairlyCattle,470,36,,CH4,4B,1000h,
2008,DairlyCattle,459,36,,CH4,4B,1000h,
2009,DairlyCattle,448,36,,CH4,4B,1000h,
2010,DairlyCattle,440,36,,CH4,4B,1000h,
1990,BeefCattle,1622,1,,CH4,4B,1000h,
1991,BeefCattle,1697,1,,CH4,4B,1000h,
1992,BeefCattle,1805,1,,CH4,4B,1000h,
1993,BeefCattle,2017,1,,CH4,4B,1000h,
1994,BeefCattle,2224,1,,CH4,4B,1000h,
1995,BeefCattle,2416,1,,CH4,4B,1000h,
1996,BeefCattle,2610,1,,CH4,4B,1000h,
1997,BeefCattle,2724,1,,CH4,4B,1000h,
1998,BeefCattle,2654,1,,CH4,4B,1000h,
1999,BeefCattle,2357,1,,CH4,4B,1000h,
2000,BeefCattle,1975,1,,CH4,4B,1000h,
2001,BeefCattle,1649,1,,CH4,4B,1000h,
2002,BeefCattle,1469,1,,CH4,4B,1000h,
2003,BeefCattle,1432,1,,CH4,4B,1000h,
2004,BeefCattle,1519,1,,CH4,4B,1000h,
2005,BeefCattle,1655,1,,CH4,4B,1000h,
2006,BeefCattle,1768,1,,CH4,4B,1000h,
2007,BeefCattle,1946,1,,CH4,4B,1000h,
2008,BeefCattle,2150,1,,CH4,4B,1000h,
2009,BeefCattle,2422,1,,CH4,4B,1000h,
2010,BeefCattle,2662,1,,CH4,4B,1000h,
1990,Pig,4528,3,,CH4,4B,1000h,
1991,Pig,4787,3,,CH4,4B,1000h,
1992,Pig,5012,3,,CH4,4B,1000h,
1993,Pig,5479,3,,CH4,4B,1000h,
1994,Pig,5782,3,,CH4,4B,1000h,
1995,Pig,6115,3,,CH4,4B,1000h,
1996,Pig,6311,3,,CH4,4B,1000h,
1997,Pig,6691,3,,CH4,4B,1000h,
1998,Pig,7052,3,,CH4,4B,1000h,
1999,Pig,7501,3,,CH4,4B,1000h,
2000,Pig,7874,3,,CH4,4B,1000h,
2001,Pig,8266,3,,CH4,4B,1000h,
2002,Pig,8636,3,,CH4,4B,1000h,
2003,Pig,8975,3,,CH4,4B,1000h,
2004,Pig,9038,3,,CH4,4B,1000h,
2005,Pig,9034,3,,CH4,4B,1000h,
2006,Pig,8944,3,,CH4,4B,1000h,
2007,Pig,9176,3,,CH4,4B,1000h,
2008,Pig,9218,3,,CH4,4B,1000h,
2009,Pig,9426,3,,CH4,4B,1000h,
2010,Pig,9518,3,,CH4,4B,1000h,
1990,chicken,74463,0.078,,CH4,4B,1000h,
1991,chicken,74659,0.078,,CH4,4B,1000h,
1992,chicken,74214,0.078,,CH4,4B,1000h,
1993,chicken,73708,0.078,,CH4,4B,1000h,
1994,chicken,75613,0.078,,CH4,4B,1000h,
1995,chicken,79771,0.078,,CH4,4B,1000h,
1996,chicken,83066,0.078,,CH4,4B,1000h,
1997,chicken,85627,0.078,,CH4,4B,1000h,
1998,chicken,85643,0.078,,CH4,4B,1000h,
1999,chicken,89562,0.078,,CH4,4B,1000h,
2000,chicken,94327,0.078,,CH4,4B,1000h,
2001,chicken,99872,0.078,,CH4,4B,1000h,
2002,chicken,102211,0.078,,CH4,4B,1000h,
2003,chicken,101035,0.078,,CH4,4B,1000h,
2004,chicken,102483,0.078,,CH4,4B,1000h,
2005,chicken,105127,0.078,,CH4,4B,1000h,
2006,chicken,111848,0.078,,CH4,4B,1000h,
2007,chicken,116058,0.078,,CH4,4B,1000h,
2008,chicken,119443,0.078,,CH4,4B,1000h,
2009,chicken,125972,0.078,,CH4,4B,1000h,
2010,chicken,135917,0.078,,CH4,4B,1000h,
1990,goat,211,0.11,,CH4,4B,1000h,
1991,goat,279,0.11,,CH4,4B,1000h,
1992,goat,353,0.11,,CH4,4B,1000h,
1993,goat,468,0.11,,CH4,4B,1000h,
1994,goat,554,0.11,,CH4,4B,1000h,
1995,goat,614,0.11,,CH4,4B,1000h,
1996,goat,653,0.11,,CH4,4B,1000h,
1997,goat,653,0.11,,CH4,4B,1000h,
1998,goat,606,0.11,,CH4,4B,1000h,
1999,goat,549,0.11,,CH4,4B,1000h,
2000,goat,498,0.11,,CH4,4B,1000h,
2001,goat,465,0.11,,CH4,4B,1000h,
2002,goat,445,0.11,,CH4,4B,1000h,
2003,goat,456,0.11,,CH4,4B,1000h,
2004,goat,485,0.11,,CH4,4B,1000h,
2005,goat,511,0.11,,CH4,4B,1000h,
2006,goat,505,0.11,,CH4,4B,1000h,
2007,goat,454,0.11,,CH4,4B,1000h,
2008,goat,369,0.11,,CH4,4B,1000h,
2009,goat,296,0.11,,CH4,4B,1000h,
2010,goat,253,0.11,,CH4,4B,1000h,
1990,sheep,3,0.1,,CH4,4B,1000h,
1991,sheep,3,0.1,,CH4,4B,1000h,
1992,sheep,4,0.1,,CH4,4B,1000h,
1993,sheep,3,0.1,,CH4,4B,1000h,
1994,sheep,2,0.1,,CH4,4B,1000h,
1995,sheep,2,0.1,,CH4,4B,1000h,
1996,sheep,2,0.1,,CH4,4B,1000h,
1997,sheep,2,0.1,,CH4,4B,1000h,
1998,sheep,1,0.1,,CH4,4B,1000h,
1999,sheep,1,0.1,,CH4,4B,1000h,
2000,sheep,1,0.1,,CH4,4B,1000h,
2001,sheep,1,0.1,,CH4,4B,1000h,
2002,sheep,1,0.1,,CH4,4B,1000h,
2003,sheep,1,0.1,,CH4,4B,1000h,
2004,sheep,1,0.1,,CH4,4B,1000h,
2005,sheep,1,0.1,,CH4,4B,1000h,
2006,sheep,1,0.1,,CH4,4B,1000h,
2007,sheep,1,0.1,,CH4,4B,1000h,
2008,sheep,2,0.1,,CH4,4B,1000h,
2009,sheep,3,0.1,,CH4,4B,1000h,
2010,sheep,4,0.1,,CH4,4B,1000h,
1990,horse,5,1.09,,CH4,4B,1000h,
1991,horse,5,1.09,,CH4,4B,1000h,
1992,horse,5,1.09,,CH4,4B,1000h,
1993,horse,5,1.09,,CH4,4B,1000h,
1994,horse,5,1.09,,CH4,4B,1000h,
1995,horse,6,1.09,,CH4,4B,1000h,
1996,horse,6,1.09,,CH4,4B,1000h,
1997,horse,7,1.09,,CH4,4B,1000h,
1998,horse,8,1.09,,CH4,4B,1000h,
1999,horse,8,1.09,,CH4,4B,1000h,
2000,horse,9,1.09,,CH4,4B,1000h,
2001,horse,10,1.09,,CH4,4B,1000h,
2002,horse,12,1.09,,CH4,4B,1000h,
2003,horse,14,1.09,,CH4,4B,1000h,
2004,horse,16,1.09,,CH4,4B,1000h,
2005,horse,18,1.09,,CH4,4B,1000h,
2006,horse,21,1.09,,CH4,4B,1000h,
2007,horse,23,1.09,,CH4,4B,1000h,
2008,horse,25,1.09,,CH4,4B,1000h,
2009,horse,27,1.09,,CH4,4B,1000h,
2010,horse,29,1.09,,CH4,4B,1000h,
1990,duck,717,0.078,,CH4,4B,1000h,
1991,duck,953,0.078,,CH4,4B,1000h,
1992,duck,984,0.078,,CH4,4B,1000h,
1993,duck,1089,0.078,,CH4,4B,1000h,
1994,duck,1178,0.078,,CH4,4B,1000h,
1995,duck,1615,0.078,,CH4,4B,1000h,
1996,duck,2426,0.078,,CH4,4B,1000h,
1997,duck,2844,0.078,,CH4,4B,1000h,
1998,duck,3114,0.078,,CH4,4B,1000h,
1999,duck,3555,0.078,,CH4,4B,1000h,
2000,duck,4363,0.078,,CH4,4B,1000h,
2001,duck,5545,0.078,,CH4,4B,1000h,
2002,duck,6558,0.078,,CH4,4B,1000h,
2003,duck,7852,0.078,,CH4,4B,1000h,
2004,duck,8369,0.078,,CH4,4B,1000h,
2005,duck,8557,0.078,,CH4,4B,1000h,
2006,duck,8680,0.078,,CH4,4B,1000h,
2007,duck,9429,0.078,,CH4,4B,1000h,
2008,duck,9867,0.078,,CH4,4B,1000h,
2009,duck,10983,0.078,,CH4,4B,1000h,
2010,duck,12278,0.078,,CH4,4B,1000h,
1990,deer,53,0.11,,CH4,4B,1000h,
1991,deer,57,0.11,,CH4,4B,1000h,
1992,deer,62,0.11,,CH4,4B,1000h,
1993,deer,70,0.11,,CH4,4B,1000h,
1994,deer,77,0.11,,CH4,4B,1000h,
1995,deer,87,0.11,,CH4,4B,1000h,
1996,deer,98,0.11,,CH4,4B,1000h,
1997,deer,113,0.11,,CH4,4B,1000h,
1998,deer,126,0.11,,CH4,4B,1000h,
1999,deer,135,0.11,,CH4,4B,1000h,
2000,deer,143,0.11,,CH4,4B,1000h,
2001,deer,149,0.11,,CH4,4B,1000h,
2002,deer,153,0.11,,CH4,4B,1000h,
2003,deer,151,0.11,,CH4,4B,1000h,
2004,deer,146,0.11,,CH4,4B,1000h,
2005,deer,136,0.11,,CH4,4B,1000h,
2006,deer,125,0.11,,CH4,4B,1000h,
2007,deer,111,0.11,,CH4,4B,1000h,
2008,deer,96,0.11,,CH4,4B,1000h,
2009,deer,84,0.11,,CH4,4B,1000h,
2010,deer,73,0.11,,CH4,4B,1000h,
2009,fertilizer,,,1137000,N2O,4D,tCO2eq,
2010,fertilizer,,,966000,N2O,4D,tCO2eq,
2009,Livestock,,,1465000,N2O,4D,tCO2eq,
2010,Livestock,,,1531000,N2O,4D,tCO2eq,
2009,Crops,,,52000,N2O,4D,tCO2eq,
2010,Crops,,,51000,N2O,4D,tCO2eq,
2009,Residue,,,56000,N2O,4D,tCO2eq,
2010,Residue,,,55000,N2O,4D,tCO2eq,
2009,indirect,,,10580,N2O,4D,ton,
2010,indirect,,,10489,N2O,4D,ton,
1990,WasteW,,,70200,CH4,6,tCO2eq,
1991,WasteW,,,79300,CH4,6,tCO2eq,
1992,WasteW,,,79500,CH4,6,tCO2eq,
1993,WasteW,,,86000,CH4,6,tCO2eq,
1994,WasteW,,,106100,CH4,6,tCO2eq,
1995,WasteW,,,116900,CH4,6,tCO2eq,
1996,WasteW,,,66200,CH4,6,tCO2eq,
1997,WasteW,,,61100,CH4,6,tCO2eq,
1998,WasteW,,,53000,CH4,6,tCO2eq,
1999,WasteW,,,57200,CH4,6,tCO2eq,
2000,WasteW,,,57200,CH4,6,tCO2eq,
2001,WasteW,,,61300,CH4,6,tCO2eq,
2002,WasteW,,,62300,CH4,6,tCO2eq,
2003,WasteW,,,62900,CH4,6,tCO2eq,
2004,WasteW,,,66100,CH4,6,tCO2eq,
2005,WasteW,,,62300,CH4,6,tCO2eq,
2006,WasteW,,,67200,CH4,6,tCO2eq,
2007,WasteW,,,57800,CH4,6,tCO2eq,
2008,WasteW,,,63100,CH4,6,tCO2eq,
2009,WasteW,,,63100,CH4,6,tCO2eq,
2010,WasteW,,,63100,CH4,6,tCO2eq,
