 ,,Rice,Barley,Bean,Potato,Vegi,Fruit,Flower,MissCrop,Dairy,Meat,Pork,Poultry,MissLstock
RGG,SUR,425349.9135,6421.830912,38537.09204,34724.84317,460461.0675,99019.53621,141666.134,81355.72467,247197.4254,98942.27271,129422.7417,132514.915,25808.37179
RGG,TW,35159.09887,159.2729491,1649.532976,2948.266816,9523.478357,2775.132568,6273.728633,3780.298386,9159.154663,4764.150235,7278.206552,8386.529535,1040.910111
RGW,Q,565314.5551,41269.3011,57550.39682,76714.42944,518825.7392,23570.16768,51072.08644,257056.1942,71159.30885,372639.7,226964.0029,160372.7389,51592.65334
RGW,P,1,1,1,1,1,1,1,1,1,1,1,1,1
RGW,ACRE,38863,7471,8376,6059,17939,2207,302.8,21633,16.92,138.9594,46.1076,33.303085,24.13112
RGW,HERD,0,0,0,0,0,0,0,0,16920,231599,461076,5584711,0
RGW,SEED,269249.7818,18130.84252,385.398121,4010.42093,9826.635303,55.9864833,9501.954655,20531.50515,0,0,0,0,0
RGW,FERT,22276.31422,1967.70264,1605.609119,3759.702235,61191.17399,3471.611702,2858.980096,7229.213636,0,0,0,0,0
RGW,PEST,5936.960415,446.6296001,165.6842402,540.2627263,18609.77776,1701.372691,605.9601551,4920.625599,0,0,0,0,0
RGW,FEED,0,0,0,0,0,0,0,0,27861.08753,195035.9846,135703.172,127585.3404,7383.253539
RGW,CUB,0,0,0,0,0,0,0,0,636.5000158,1953.897356,475.8051575,18339.81513,861.3677101
RGW,MED,0,0,0,0,0,0,0,0,491.8477857,1551.226773,1034.483626,614.0958576,104.0783284
RGW,ENERGY,6955.108825,397.5659859,782.1814158,946.827256,14342.82963,284.2630282,12786.44274,1827.464943,487.2981238,2159.96958,1621.872267,2000.494838,256.1262871
RGW,WATER,4.43938012,0,0,0,9.192965787,1.470180574,10.74925778,149.9475199,234.3226877,520.2422342,459.0300693,269.7320928,65.01080337
RGW,SMACH,50.98911887,40.66035293,36.35266029,36.68225217,359.9768774,12.78048036,6.197985447,1675.390578,22.81971253,170.5937887,48.35835873,19.17514051,132.1072428
RGW,LMACH,3584.425909,104.5671222,200.6387212,453.4864573,1484.332065,138.6609413,242.9596637,917.6049679,346.8567028,1329.770189,1092.214541,281.2732914,143.0441151
RGW,FACIL,906.5707797,37.26241968,49.43562319,99.88092023,1642.172687,93.38764335,375.5047375,1636.760032,272.6966991,574.8101043,302.249024,516.6547502,124.0699135
RGW,OINPUT,10920.50678,1121.41064,459.3018809,2250.632931,36371.56241,2682.398187,8024.929323,8241.259795,2249.743133,13671.40028,4716.503072,2303.715091,2652.064346
RGW,OSERV,55047.01263,3113.493997,2296.90356,4787.946433,44555.81261,3774.321551,10865.89525,14749.63073,6799.207682,38568.4603,25535.43275,27892.85339,3260.612265
RGW,KCOST,29698.62173,2536.056948,2281.229303,4107.185625,62703.17044,6528.912608,11582.59695,23201.29866,6631.149031,35740.45573,15366.48567,23116.83471,3105.919109
RGW,LCOST,10085.36047,1544.244902,1393.485354,3918.785508,28326.74687,2427.626406,2695.885305,18303.82937,642.2653481,1735.000263,5144.87935,4888.191267,3884.726151
RGW,SUR,161585.9588,24379.79376,44569.16047,47555.17844,243616.4051,18981.65295,21221.4687,158330.8333,23780.58797,75616.35489,36034.7361,25156.88387,14740.25858
RGW,TW,12981.60477,976.6861494,2054.078596,2906.690977,7373.210899,460.3680028,863.2861801,6722.994668,873.9927412,4798.674102,1785.528597,1181.175935,594.5080274
RCB,Q,724558.0581,25342.91288,78254.35112,37219.3441,472163.6489,254047.0283,60522.03604,268847.6716,92751.02822,326963.7869,282575.2932,344766.9462,73693.53325
RCB,P,1,1,1,1,1,1,1,1,1,1,1,1,1
RCB,ACRE,46826,4545,11490,3125,13060,14812,282.3,24425,22.054,121.9266,57.405,63.987162,51.59006
RCB,HERD,0,0,0,0,0,0,0,0,22054,203211,574050,12112806,0
RCB,SEED,333870.6771,11195.54693,548.1966794,2120.344294,8125.365877,401.5472772,3626.47486,20453.20638,0,0,0,0,0
RCB,FERT,22257.53997,1381.886037,2283.845041,1266.963486,38904.57736,22661.90413,2564.014563,7324.701269,0,0,0,0,0
RCB,PEST,6214.523372,435.0611698,235.6720112,271.5040284,14484.66434,18266.27577,465.2820348,4839.885142,0,0,0,0,0
RCB,FEED,0,0,0,0,0,0,0,0,36257.25608,171724.7384,168603.8371,153473.374,15784.70013
RCB,CUB,0,0,0,0,0,0,0,0,826.8026481,1739.570099,606.1388438,21052.59052,1841.522973
RCB,MED,0,0,0,0,0,0,0,0,642.6149472,1315.705543,1265.103688,798.1489655,222.5096559
RCB,ENERGY,6027.867105,324.0908989,1112.587819,439.0089266,14162.45495,2602.084716,9459.049919,1868.090573,631.334354,1801.165653,2026.187019,2983.156175,547.5738599
RCB,WATER,5.519054705,0,0,0,10.25858997,11.965758,9.079305937,147.4521754,303.5841006,433.8220558,573.4611701,402.2269604,138.9869698
RCB,SMACH,55.62818606,45.23897428,51.70862693,9.14427662,292.6127482,86.18197391,15.77723259,1610.40332,27.72573214,130.4256415,61.04958079,20.21411863,282.432833
RCB,LMACH,2092.369758,56.89890651,285.3918448,248.6442041,965.6314194,1245.38905,283.9310545,768.4397847,457.4701986,1116.110609,1431.877399,322.6581876,305.8148349
RCB,FACIL,1099.063278,80.50952182,70.31805035,57.62468526,1158.408522,780.5404078,287.2858276,896.8163344,347.6468333,487.0776156,377.6598326,616.5334876,265.2497804
RCB,OINPUT,6956.247036,861.2063226,653.3186133,936.1155393,25193.31863,23810.01076,3446.822254,7592.247844,2963.449068,12392.31965,5820.621678,2909.979392,5669.863592
RCB,OSERV,66326.10486,1902.305194,3150.838336,2469.439281,38126.46986,25330.87939,5726.14022,14300.43334,9006.772746,31160.78374,32477.04727,31594.5418,6970.881682
RCB,KCOST,46417.99138,1532.695855,3244.858396,4504.461985,75488.03224,58930.30372,4602.449233,26326.88319,8475.975829,30929.16058,19245.41666,25806.35423,6640.162296
RCB,LCOST,14087.94098,1708.584255,1982.11668,2985.531747,29990.07173,18531.57864,1733.864534,17948.36716,761.5516922,1527.476622,6058.306021,5423.847133,8305.178343
RCB,SUR,222385.4687,16399.96798,63395.91306,21366.25059,182065.8358,144497.9075,13514.09361,146494.0742,30360.77848,66347.76097,42993.79384,20349.08778,31513.28346
RCB,TW,16638.39408,599.7695948,2793.040476,1410.231849,6770.703853,4961.997921,758.7613255,6969.867432,1139.18652,3855.645821,2223.0233,2713.18066,1271.002125
RCN,Q,2608348.248,2461.913641,46639.2437,66379.17208,1433227.371,151832.8041,127304.7152,214061.1833,332514.1605,633972.9213,935433.2535,818757.2847,85913.93328
RCN,P,1,1,1,1,1,1,1,1,1,1,1,1,1
RCN,ACRE,158217,867,7115,5514,25406,8585,882.6,28447,79.064,236.412,190.0327,156.909991,45.63923
RCN,HERD,0,0,0,0,0,0,0,0,79064,394020,1900327,28696081,0
RCN,SEED,1014378.583,1145.5344,322.7506389,3816.634402,24393.75804,153.0220516,10775.40906,15174.35602,0,0,0,0,0
RCN,FERT,84061.88117,212.0906503,1344.613118,2511.542288,101737.5114,18108.49461,8985.727493,6171.778318,0,0,0,0,0
RCN,PEST,30021.58067,43.87324947,138.7518295,691.4061619,35226.10485,6921.283934,1430.620271,3727.158295,0,0,0,0,0
RCN,FEED,0,0,0,0,0,0,0,0,129984.0719,332371.087,559029.0445,443453.1974,13963.9605
RCN,CUB,0,0,0,0,0,0,0,0,2971.183506,3347.576633,2013.341038,60837.06478,1629.106276
RCN,MED,0,0,0,0,0,0,0,0,2297.924331,2614.152476,4161.709576,2241.514306,196.8435269
RCN,ENERGY,19304.49349,40.59262938,655.0357617,862.4022565,31812.31715,1548.673291,29157.88944,1531.743972,2275.924719,3624.977981,6716.50148,8067.5958,484.4121005
RCN,WATER,26.3754844,0,0,0,41.38124704,6.331389705,57.02012318,106.6192653,1094.403551,873.0987052,1900.936469,1087.775613,122.9550476
RCN,SMACH,189.4677761,33.38064928,30.44343938,87.8196066,797.0133874,64.87995608,30.77489677,1170.430488,107.168402,283.7709263,202.0761757,58.8075538,249.8546624
RCN,LMACH,8077.306259,6.236333206,168.0243674,291.6840622,2894.250595,773.3734476,872.2487803,672.9710168,1623.199942,2234.197005,4768.531627,917.8918125,270.5395882
RCN,FACIL,3170.496616,3.181151477,41.39973213,108.5214604,2367.826956,488.0010584,498.6333034,680.2030946,1275.273336,972.0392817,1258.555111,1736.856242,234.6536471
RCN,OINPUT,25066.14721,126.5660943,384.6411476,2078.475201,80640.03492,15649.07935,10296.76123,6690.393962,10373.39459,23490.10238,19204.14409,8408.755921,5015.853994
RCN,OSERV,224104.5003,280.6311475,1951.106593,4357.276222,103294.807,14681.7175,14841.76453,11886.93743,32111.78469,64603.16848,107529.1974,91836.17782,6166.801752
RCN,KCOST,121366.485,128.2380104,1910.409457,6990.55231,141850.3172,42527.60372,6145.722611,21651.50736,30992.23964,60548.83036,63673.36912,74098.3154,5874.230312
RCN,LCOST,53559.77938,32.69168595,1166.970631,4412.330165,69730.61971,17902.51792,4257.094355,14653.03732,2936.513017,2940.68468,20052.8566,16214.90541,7347.18945
RCN,SUR,736040.1084,2730.464601,37324.32577,45066.71458,573275.9125,87360.48268,46783.94914,117353.95,109798.249,128646.3074,140064.1639,67497.69853,27878.27717
RCN,TW,59896.8234,58.26405804,1664.639647,2515.090603,21093.7456,2965.569262,2028.277677,5480.697355,4084.004852,8005.785946,7359.064886,7230.933283,1124.394085
RJB,Q,2227583.826,91162.52863,35285.36246,58271.97468,749251.8592,135786.4604,64992.07551,271647.4247,133957.8195,535659.0098,591009.3884,735807.3455,60481.64994
RJB,P,1,1,1,1,1,1,1,1,1,1,1,1,1
RJB,ACRE,134355,15555,5223,4899,18697,6965,919.8,48422,31.852,199.7502,120.0632,127.8067242,63.32851
RJB,HERD,0,0,0,0,0,0,0,0,31852,332917,1200632,25974363,0
RJB,SEED,1188653.504,40187.78527,238.3300982,3096.983929,12628.89287,145.02813,3906.733343,16777.39352,0,0,0,0,0
RJB,FERT,61649.16857,1668.735418,992.9082633,2515.903502,60966.36963,15132.42407,3007.953551,9709.034884,0,0,0,0,0
RJB,PEST,22600.30988,454.5530982,102.4590912,337.7718958,16114.1315,4613.820892,648.0166741,5179.577922,0,0,0,0,0
RJB,FEED,0,0,0,0,0,0,0,0,52541.79816,280983.8415,352645.547,187354.1266,19376.24302
RJB,CUB,0,0,0,0,0,0,0,0,1202.040662,2885.911164,1289.909738,25791.87133,2260.530536
RJB,MED,0,0,0,0,0,0,0,0,923.7475768,2105.610707,2614.570705,1089.833973,273.1379837
RJB,ENERGY,14573.61557,1095.531717,483.7007849,1132.121565,20730.88911,1117.057791,13754.74863,1840.801577,922.0062748,2851.753336,4244.441903,4287.220387,672.1650771
RJB,WATER,7.426745393,0,0,0,32.30215669,3.057296593,15.04275331,114.5589978,443.3569058,686.8626951,1201.282309,578.057441,170.6111159
RJB,SMACH,104.2703644,19.30782589,22.4804757,42.26965141,375.3389283,42.31165783,9.13920433,1274.160842,45.30667149,190.7242441,130.5958248,26.24809621,346.6956714
RJB,LMACH,5259.681185,164.4160132,124.0749332,262.9826725,1424.103904,456.6244888,326.9469437,995.0983915,645.5903655,1750.911811,3086.297972,411.2251795,375.3978544
RJB,FACIL,2626.055395,258.9094508,30.57097657,39.47330738,1563.494788,237.0972633,196.0692209,943.4148437,522.6837072,782.1691921,802.4366647,824.8933448,325.6029043
RJB,OINPUT,13139.84945,624.7301207,284.0321641,1473.15877,39999.50322,10923.33586,4900.978894,7445.92549,4216.294508,20380.14331,12057.09647,3711.946498,6959.94564
RJB,OSERV,190305.4675,6664.038521,1432.274032,3871.290572,59399.77168,11911.25945,7192.103194,15278.82,12575.76338,48371.1207,68129.78164,39512.92614,8556.988503
RJB,KCOST,168797.942,12121.51061,1410.71161,3611.387188,93761.94014,18826.47171,5479.02895,26437.74925,12676.57834,49899.79098,40537.50665,29314.23928,8151.019487
RJB,LCOST,37615.74042,1631.767732,861.730982,3492.437903,44401.27,9632.388389,2186.075325,21967.8102,1309.461999,2513.024791,12414.70359,5877.32777,10194.88192
RJB,SUR,704859.7799,11168.81376,27561.55729,35665.46458,269510.4327,77949.98168,24802.31777,138773.552,45735.37514,108696.3675,86227.76646,11767.22423,38683.60081
RJB,TW,51153.13689,2157.467577,1259.398924,2207.910875,10774.7205,2652.155148,344.2575192,6801.935427,1645.296501,5938.390281,4649.478112,6052.077869,1560.19727
RJN,Q,2831321.207,104702,108462.1468,100508.8598,1579932.266,299717.8066,171147.7176,334830.12,123325.9795,805717.7657,427366.2729,616501.8905,93098.3595
RJN,P,1,1,1,1,1,1,1,1,1,1,1,1,1
RJN,ACRE,190027,26200,15679,6795,47014,20112,975.7,52845,29.324,300.4566,86.8192,110.3950372,128.3303
RJN,HERD,0,0,0,0,0,0,0,0,29324,500761,868192,21716302,0
RJN,SEED,1211808.99,46448.22134,713.8167466,4835.44601,38809.39624,192.2544999,6426.34768,22708.65802,0,0,0,0,0
RJN,FERT,92237.16726,3741.571601,2973.835666,4055.161084,158532.778,37620.65624,5277.463423,11684.19533,0,0,0,0,0
RJN,PEST,37043.97775,765.2739619,306.8727604,298.6277694,46516.52917,10563.34184,1094.331575,6096.684938,0,0,0,0,0
RJN,FEED,0,0,0,0,0,0,0,0,48280.51394,421863.4187,255613.2944,210779.3769,39264.44946
RJN,CUB,0,0,0,0,0,0,0,0,1104.54623,4160.638011,950.447846,28163.50145,4580.789314
RJN,MED,0,0,0,0,0,0,0,0,849.9192559,3418.692307,1837.255346,1144.157997,553.49288
RJN,ENERGY,27839.46541,1891.412005,1448.720591,863.8498908,63270.52955,1884.001243,22719.70369,2395.71162,846.4517446,4794.860111,3088.733485,4248.394759,1362.09025
RJN,WATER,10.96272841,0,0,0,30.49125091,29.4033191,38.52842703,159.4751989,407.025675,1154.872161,874.1881681,572.8224773,345.7301567
RJN,SMACH,224.9920901,30.76010191,67.33073225,88.82566166,695.4021987,127.9064361,14.55924914,1909.804213,40.85893533,391.6268228,93.90131062,28.56504816,702.551813
RJN,LMACH,7285.052813,182.6864875,371.6138492,373.1358184,4070.565463,1283.354529,538.7150104,1134.172509,595.7199014,2978.466256,2331.049767,422.387915,760.7145545
RJN,FACIL,3479.866225,165.0429579,91.56239688,196.2369894,3944.406146,666.6420527,336.9037719,2096.30508,478.0078517,1256.748231,585.6027502,841.0764091,659.8089611
RJN,OINPUT,26148.9853,1150.806846,850.6979055,1804.98897,104333.8507,30077.75568,8592.335797,10913.52775,3860.823442,29472.99678,8621.64315,4102.842233,14103.78851
RJN,OSERV,269161.3789,9531.072962,4299.56434,5369.548772,119103.5601,34394.72362,12189.70424,18560.04007,11719.61959,86040.05954,50304.9677,41482.32532,17340.07166
RJN,KCOST,173447.6972,5709.204786,4225.188423,5463.634218,189689.3979,43340.4771,8847.342842,31892.46902,11570.72696,78340.94962,29266.46493,33355.1926,16517.40703
RJN,LCOST,59421.16473,3297.005645,2580.949745,4719.938831,89481.78382,19027.45849,3954.995094,26618.33376,1155.429141,3761.256652,8560.013724,7197.330252,20659.13527
RJN,SUR,773713.8607,20582.76156,82548.95754,55098.15639,864317.6045,188766.1454,43287.00672,188113.2473,41547.04907,163496.9127,58573.31984,19873.57065,78389.30834
RJN,TW,65017.06451,2477.894962,3871.211781,3808.256128,22448.84721,5854.030819,648.5792994,8500.78178,1514.714134,10800.71041,3362.095714,4471.00044,3161.618421
RKB,Q,1966680.824,21788.39874,92179.56707,57660.98995,1781468.119,1229976.887,66364.6783,751792.7562,165819.6944,961678.451,621314.6718,642407.2077,159170.121
RKB,P,1,1,1,1,1,1,1,1,1,1,1,1,1
RKB,ACRE,119814,3921,14475,5312,40282,56379,256.1,35911,39.428,358.6152,126.2197,132.3355692,53.48908
RKB,HERD,0,0,0,0,0,0,0,0,39428,597692,1262197,22385742,0
RKB,SEED,689614.4871,9662.194571,683.2295941,3878.32573,25743.82864,1676.28119,3206.356274,61958.31133,0,0,0,0,0
RKB,FERT,49137.77973,914.4739196,2846.406371,3884.15952,178369.3826,106510.4812,4795.020859,20392.05197,0,0,0,0,0
RKB,PEST,17498.84197,151.5953201,293.7232176,303.9710155,53654.91031,51783.38733,1062.495835,14420.10091,0,0,0,0,0
RKB,FEED,0,0,0,0,0,0,0,0,64719.88085,504325.68,372495.6704,492316.6406,16365.73185
RKB,CUB,0,0,0,0,0,0,0,0,1479.738843,5046.081434,1318.021877,69988.48259,1909.309073
RKB,MED,0,0,0,0,0,0,0,0,1142.411451,4005.789855,2770.190874,2395.550538,230.7001927
RKB,ENERGY,16653.50207,305.9470122,1386.6427,1082.040055,41812.21533,10661.59658,14692.3811,5224.770062,1131.409263,5578.500432,4464.101405,7902.328892,567.7299463
RKB,WATER,15.24795889,0,0,0,22.00305359,43.80554313,16.62033726,454.3795497,544.0506466,1343.616852,1263.451395,1065.492232,144.1030529
RKB,SMACH,159.8662413,20.44916525,64.44560048,59.38195084,947.8337724,293.900646,27.20208855,4998.497525,52.12580407,447.5308501,130.6266183,66.91999638,292.8291302
RKB,LMACH,8040.987642,42.07255372,355.6901411,219.8219446,3824.774513,4613.154122,231.3335364,2280.710597,806.0595093,3450.711218,3086.438371,1090.363058,317.0718191
RKB,FACIL,3393.331727,41.80009285,87.63893472,68.73026111,2693.137475,1699.855297,267.8676679,3674.296605,632.1955084,1486.240753,831.737164,1988.388401,275.0135728
RKB,OINPUT,16618.98507,356.5104793,814.2453753,1780.347699,110668.3526,72079.3598,5963.069766,20800.64935,5177.823116,35544.71184,12816.81993,9030.536222,5878.570159
RKB,OSERV,169709.049,1638.527304,3969.398164,4197.651667,142194.2676,96417.07055,6667.910373,40285.50901,16085.79171,100024.5302,71114.15109,107077.3606,7227.478471
RKB,KCOST,132908.8705,860.0560977,4044.138479,3159.346215,256089.5198,158735.2594,11800.33988,70472.71199,15266.772,92460.61332,41890.70694,90296.56555,6884.585369
RKB,LCOST,27129.31302,466.9707821,2470.355669,3212.953946,76874.03382,62206.67932,3824.317117,51970.28593,1419.71185,4457.144917,13664.83316,18610.45412,8610.89033
RKB,SUR,603202.0922,8378.562943,79011.72258,36688.39691,788173.5983,589665.3179,26296.08506,436502.6919,54539.99754,195144.5835,94709.40375,94692.82186,32673.28125
RKB,TW,45161.88898,515.6478715,3290.056823,2184.760813,25909.45077,24023.67309,582.4704438,19784.33174,2036.630366,12438.29742,4887.890148,5193.231748,1317.787464
RKN,Q,1435672.194,61992.13109,39342.64131,39261.48558,1686002.708,444807.4636,264794.1826,203232.2175,121610.0813,527932.6559,606784.4784,304074.4118,116117.9539
RKN,P,1,1,1,1,1,1,1,1,1,1,1,1,1
RKN,ACRE,94026,10162,6554,3726,29239,21747,1428.7,26257,28.916,196.869,123.2679,61.964619,62.66659
RKN,HERD,0,0,0,0,0,0,0,0,28916,328115,1232679,10605453,0
RKN,SEED,770214.6216,27268.98389,294.4856132,2897.385906,38747.53192,296.1306929,17028.07982,15925.28362,0,0,0,0,0
RKN,FERT,46566.60951,1713.596508,1226.858047,2338.205222,166080.3223,37372.16382,23514.1208,7130.41883,0,0,0,0,0
RKN,PEST,16854.87926,335.8007184,126.6005784,146.6557649,46868.56655,13997.47914,5073.0969,3993.609825,0,0,0,0,0
RKN,FEED,0,0,0,0,0,0,0,0,47643.19636,276869.2502,362405.1623,223917.1697,19173.71935
RKN,CUB,0,0,0,0,0,0,0,0,1089.249909,2674.302551,1314.583472,31528.5652,2236.9031
RKN,MED,0,0,0,0,0,0,0,0,838.9481196,2327.855897,2689.240186,1084.270941,270.2831006
RKN,ENERGY,18370.17121,646.6473943,597.6707236,598.8633415,67171.77548,2230.868832,77243.6492,1546.694419,834.3328425,3319.419941,4358.887013,3615.749155,665.1394972
RKN,WATER,10.61106744,0,0,0,17.46456363,48.92894306,106.4653448,113.538175,401.198167,799.503133,1233.673113,487.5211711,168.8278605
RKN,SMACH,132.2613753,29.21792399,27.77734211,69.55470197,830.8888056,105.5308986,131.1037932,1277.836497,39.84088888,300.000954,132.1306472,32.74828292,343.0719512
RKN,LMACH,5081.379777,137.8756909,153.3095612,300.0998789,4090.520253,1061.652478,1275.108482,679.7191768,588.7231075,2079.917744,3132.139256,474.7811118,371.4741343
RKN,FACIL,1928.626079,157.4253026,37.77413281,141.575486,3527.346922,841.6991253,1349.905913,994.1778561,469.6612661,855.6350057,819.0513241,883.1192307,322.1996492
RKN,OINPUT,15887.10402,633.4509254,350.9560339,1043.073846,105745.292,24544.6148,32092.55087,6309.627887,3839.527275,19054.70612,12421.15461,4056.624284,6887.199144
RKN,OSERV,133181.9574,4438.039012,1797.266706,2944.361843,116299.8511,37190.83406,36769.01676,11635.69881,11522.67347,61596.4664,69965.76077,46701.04849,8467.549452
RKN,KCOST,93157.67371,2189.98565,1743.104529,1707.602972,216129.8611,58558.98399,57759.02631,24904.89199,11388.49783,52562.24751,41418.49722,40125.35372,8065.823691
RKN,LCOST,22999.6337,1082.227562,1064.772677,2563.611317,76650.30785,26229.6382,18523.01855,15186.02916,1137.33361,2435.388273,12852.69319,8521.305076,10088.32333
RKN,SUR,414884.737,10331.97642,34055.63191,24378.29465,862232.428,193999.1608,132336.7979,131326.7448,41074.96335,107128.5294,89698.62537,41374.90296,38279.27345
RKN,TW,32968.06854,1467.116094,1404.210603,1487.60809,24766.62969,8687.894223,3140.263406,5298.9704,1493.639131,7779.727114,4773.580939,2396.779512,1543.889832
RJJ,Q,9824.589023,20332.55701,58916.30006,20802.03045,417386.1839,898850.6577,35192.78051,58721.49129,19652.92259,49053.17611,247124.5355,44327.36133,23596.44469
RJJ,P,1,1,1,1,1,1,1,1,1,1,1,1,1
RJJ,ACRE,1119,5070,6933,2892,16602,22230,264.2,9209,4.673,18.2922,50.2032,9.322902,2.9506
RJJ,HERD,0,0,0,0,0,0,0,0,4673,30487,502032,1541970,0
RJJ,SEED,9166.296148,8976.112231,339.554846,2097.242019,6164.380749,274.340041,3102.750388,3886.073078,0,0,0,0,0
RJJ,FERT,554.1875231,778.2334105,1414.621212,1143.125208,37044.98208,42959.18212,2781.885014,2529.839461,0,0,0,0,0
RJJ,PEST,200.5893039,252.4865674,145.9760273,533.3622641,8257.817437,29254.21184,497.0372897,1232.652223,0,0,0,0,0
RJJ,FEED,0,0,0,0,0,0,0,0,7709.467693,25983.86212,149437.4111,36852.7585,902.777322
RJJ,CUB,0,0,0,0,0,0,0,0,176.6466166,278.2128115,542.4281149,5493.894478,105.3225696
RJJ,MED,0,0,0,0,0,0,0,0,135.1257372,173.0767681,1032.589592,177.4788356,12.72603658
RJJ,ENERGY,218.6227382,181.0577636,689.1405944,223.1652622,5405.843283,59392.49089,9920.290093,453.4982978,135.6703248,221.0022054,1801.973699,560.9138448,31.31749471
RJJ,WATER,0.126281927,0,0,0,12.01511907,87.37956804,24.22203409,26.88166582,65.23857488,53.22976868,510.0032406,75.62952041,7.949107891
RJJ,SMACH,1.574037808,11.58218597,32.02849545,13.13959071,38.85121825,265.3353012,17.74332623,309.2439505,6.902134985,10.02744773,50.45776674,5.704991572,16.15323411
RJJ,LMACH,60.47331557,31.58905058,176.7726576,54.05799761,639.140293,1434.960534,186.1027375,239.4727678,93.78188397,136.8117451,1333.221718,87.7217874,17.49052534
RJJ,FACIL,22.9525087,39.62647021,43.55523419,28.09527129,468.5382307,3269.086735,159.8461326,290.5793596,77.71208245,65.24007886,338.6890311,157.8708393,15.17048055
RJJ,OINPUT,189.071846,218.0184295,404.6677213,877.1911919,22396.01542,10582.93824,3925.052525,1831.9443,611.9548418,2019.104429,4978.975047,663.8561935,324.2775743
RJJ,OSERV,1584.993622,1846.851301,1901.197753,2285.317888,30355.20421,38016.84099,5601.755483,3510.466035,1831.460463,3398.372809,29432.75754,8765.069046,398.6869465
RJJ,KCOST,1108.666081,1000.272359,2009.87608,2581.457259,28672.0485,53302.74909,4237.943938,7205.454736,1876.762064,4358.047714,16498.96,6838.906822,379.7720505
RJJ,LCOST,273.7178026,591.0601623,1227.729662,2283.513137,12434.1476,42091.47353,2394.581691,5268.591604,200.5949066,229.1317325,5029.696144,1411.629741,474.9996262
RJJ,SUR,4937.528138,4629.380785,39267.63934,12881.70069,179445.7157,353469.8149,18356.14714,37424.1818,6776.573974,9953.910904,32944.44905,7850.895091,1802.345145
RJJ,TW,225.6070193,481.1936788,2102.830174,788.1838485,5720.213115,17556.17896,386.3755157,1482.122808,241.3810922,399.6186716,1944.131754,342.0910172,72.69266348
